,三年一般定期儲蓄存款機動利率,三年一般定期儲蓄存款固定利率,三年五百萬元(含)以上定期儲蓄存款機動利率,三年五百萬元(含)以上定期儲蓄存款固定利率,二年 ~ 未滿三年一般定期儲蓄存款機動利率,二年 ~ 未滿三年一般定期儲蓄存款固定利率,二年 ~ 未滿三年五百萬元(含)以上定期儲蓄存款機動利率,二年 ~ 未滿三年五百萬元(含)以上定期儲蓄存款固定利率,一年 ~ 未滿二年一般定期儲蓄存款機動利率,一年 ~ 未滿二年一般定期儲蓄存款固定利率,一年 ~ 未滿二年五百萬元(含)以上定期儲蓄存款機動利率,一年 ~ 未滿二年五百萬元(含)以上定期儲蓄存款固定利率,活期儲蓄存款利率,三年一般定期存款機動利率,三年一般定期存款固定利率,三年五百萬元(含)以上定期存款機動利率,三年五百萬元(含)以上定期存款固定利率,二年 ~ 未滿三年一般定期存款機動利率,二年 ~ 未滿三年一般定期存款固定利率,二年 ~ 未滿三年五百萬元(含)以上定期存款機動利率,二年 ~ 未滿三年五百萬元(含)以上定期存款固定利率,一年 ~ 未滿二年一般定期存款機動利率,一年 ~ 未滿二年一般定期存款固定利率,一年 ~ 未滿二年五百萬元(含)以上定期存款機動利率,一年 ~ 未滿二年五百萬元(含)以上定期存款固定利率,九個月 ~ 未滿十二個月一般定期存款機動利率,九個月 ~ 未滿十二個月一般定期存款固定利率,九個月 ~ 未滿十二個月五百萬元(含)以上定期存款機動利率,九個月 ~ 未滿十二個月五百萬元(含)以上定期存款固定利率,六個月 ~ 未滿九個月一般定期存款機動利率,六個月 ~ 未滿九個月一般定期存款固定利率,六個月 ~ 未滿九個月五百萬元(含)以上定期存款機動利率,六個月 ~ 未滿九個月五百萬元(含)以上定期存款固定利率,三個月 ~ 未滿六個月一般定期存款機動利率,三個月 ~ 未滿六個月一般定期存款固定利率,三個月 ~ 未滿六個月五百萬元(含)以上定期存款機動利率,三個月 ~ 未滿六個月五百萬元(含)以上定期存款固定利率,一個月 ~ 未滿三個月一般定期存款機動利率,一個月 ~ 未滿三個月一般定期存款固定利率,一個月 ~ 未滿三個月五百萬元(含)以上定期存款機動利率,一個月 ~ 未滿三個月五百萬元(含)以上定期存款固定利率,活期存款利率,薪資轉帳活期儲蓄存款,證券戶活期儲蓄存款,基本放款利率,信用卡循環信用差別利率第一級,信用卡循環信用差別利率第二級,信用卡循環信用差別利率第三級,信用卡循環信用差別利率第四級,信用卡循環信用差別利率第五級,基準利率(按月),基準利率(按季),定儲利率指數(按月),定儲利率指數(按季),中華郵政一年期定期儲金機動利率(未達五百萬元),中華郵政二年期定期儲金機動利率(未達五百萬元),Unnamed: 56,日期
157,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-06-07
158,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-06-08
159,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-06-09
160,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-06-10
161,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-06-11
162,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-06-12
163,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-06-13
164,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-06-14
165,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-06-15
166,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-06-16
167,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-06-17
168,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-06-18
169,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-06-19
170,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-06-20
171,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-06-21
172,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-06-22
173,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-06-23
174,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-06-24
175,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-06-25
176,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-06-26
177,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-06-27
178,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-06-28
179,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-06-29
180,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-06-30
181,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-07-01
182,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-07-02
183,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-07-03
184,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-07-04
185,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-07-05
186,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-07-06
187,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-07-07
188,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-07-08
189,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-07-09
190,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-07-10
191,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-07-11
192,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-07-12
193,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-07-13
194,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-07-14
195,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-07-15
196,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-07-16
197,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-07-17
198,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-07-18
199,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-07-19
200,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-07-20
201,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-07-21
202,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-07-22
203,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-07-23
204,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-07-24
205,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-07-25
206,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-07-26
207,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-07-27
208,1.165,1.115,0.29,0.28,1.115,1.075,0.26,0.25,1.09,1.07,0.24,0.23,0.2,1.115,1.065,0.29,0.28,1.09,1.04,0.26,0.25,1.065,1.035,0.24,0.23,0.95,0.91,0.2,0.19,0.835,0.795,0.17,0.16,0.66,0.63,0.14,0.13,0.6,0.6,0.11,0.11,0.08,0.25,0.03,-,5.3389999999999995,7.3389999999999995,8.339,9.339,11.339,2.616,2.616,1.089,1.089,1.06,1.095,,2017-07-28
