"107年12月03日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","11,601.68","+","286.91","2.54","",
"發行量加權股價指數","10,137.87","+","249.84","2.53","",
"臺灣公司治理100指數","5,752.56","+","133.80","2.38","",
"臺灣50指數","7,628.21","+","207.89","2.80","",
"臺灣中型100指數","7,433.96","+","209.41","2.90","",
"臺灣資訊科技指數","9,840.19","+","360.15","3.80","",
"臺灣發達指數","7,942.80","+","198.65","2.57","",
"臺灣高股息指數","5,859.79","+","121.63","2.12","",
"臺灣就業99指數","6,138.20","+","108.78","1.80","",
"臺灣高薪100指數","5,635.77","+","99.67","1.80","",
"臺灣低波動高股息指數","1,564.02","+","17.56","1.14","",
"未含金融保險股指數","8,501.76","+","232.23","2.81","",
"未含電子股指數","14,309.81","+","205.83","1.46","",
"未含金融電子股指數","12,067.94","+","202.61","1.71","",
"小型股300指數","5,969.57","+","136.52","2.34","",
"水泥窯製類指數","492.09","+","13.37","2.79","",
"塑膠化工類指數","879.62","+","11.92","1.37","",
"機電類指數","2,298.79","+","78.17","3.52","",
"水泥類指數","130.81","+","3.85","3.03","",
"食品類指數","1,662.12","+","20.98","1.28","",
"塑膠類指數","281.14","+","3.44","1.24","",
"紡織纖維類指數","523.93","+","3.56","0.68","",
"電機機械類指數","177.74","+","6.46","3.77","",
"電器電纜類指數","51.12","+","1.30","2.61","",
"化學生技醫療類指數","93.83","+","1.95","2.12","",
"化學類指數","103.94","+","1.99","1.95","",
"生技醫療類指數","57.50","+","1.34","2.39","",
"玻璃陶瓷類指數","37.36","+","0.45","1.22","",
"造紙類指數","198.75","+","1.40","0.71","",
"鋼鐵類指數","105.85","+","1.21","1.16","",
"橡膠類指數","253.18","+","2.46","0.98","",
"汽車類指數","194.90","+","2.92","1.52","",
"電子類指數","407.65","+","13.85","3.52","",
"半導體類指數","159.08","+","6.31","4.13","",
"電腦及週邊設備類指數","85.70","+","1.81","2.16","",
"光電類指數","36.21","+","1.94","5.66","",
"通信網路類指數","119.44","-","0.08","-0.07","",
"電子零組件類指數","92.76","+","4.07","4.59","",
"電子通路類指數","110.62","+","1.96","1.80","",
"資訊服務類指數","89.86","+","0.60","0.67","",
"其他電子類指數","75.58","+","2.63","3.61","",
"建材營造類指數","266.31","+","3.54","1.35","",
"航運類指數","65.02","+","0.54","0.84","",
"觀光類指數","112.00","+","2.50","2.28","",
"金融保險類指數","1,227.18","+","10.91","0.90","",
"貿易百貨類指數","251.56","+","0.31","0.12","",
"油電燃氣類指數","145.95","+","4.80","3.40","",
"其他類指數","240.95","+","3.94","1.66","",
"臺指日報酬兩倍指數","14,563.12","+","700.53","5.05","",
"臺指日報酬反向一倍指數","7,641.83","-","198.09","-2.53","",
"電子類兩倍槓桿指數","10,873.08","+","714.55","7.03","",
"電子類反向指數","8,381.44","-","305.52","-3.52","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,866.77","+","93.57","1.96","",
"臺灣中小型公司治理指數","4,916.83","+","160.90","3.38","",
"臺灣IPO指數","4,776.17","+","111.76","2.40","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣永續指數","4,925.59","+","116.07","2.41","",
"漲升股利150指數","5,772.05","+","129.61","2.30","",
"漲升股利100指數","5,780.11","+","133.31","2.36","",
"藍籌30指數","5,354.89","+","140.38","2.69","",
"工業菁英30指數","5,661.07","+","193.63","3.54","",
"電子菁英30指數","5,378.39","+","186.36","3.59","",
"低波動精選30指數","5,723.72","+","37.65","0.66","",
"低貝塔100指數","5,253.28","+","28.39","0.54","",
"中小型精選50指數","5,257.08","+","130.67","2.55","",
"中小型A級動能50指數","5,506.09","+","103.16","1.91","",
"特選高息低波指數","4,840.13","+","90.15","1.90","",
"特選內需高收益指數","5,166.04","+","25.93","0.50","",
"價值投資指數","5,097.66","+","83.79","1.67","",
"藍籌30反向一倍指數","9,032.03","-","249.88","-2.69","",
"工業菁英30反向一倍指數","9,953.28","-","365.44","-3.54","",
"金融類日報酬兩倍指數","18,468.46","+","325.49","1.79","",
"金融類日報酬反向一倍指數","6,898.94","-","62.44","-0.90","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","13,954.95","+","345.11","2.54","",
"發行量加權股價報酬指數","18,086.85","+","445.73","2.53","",
"臺灣公司治理100報酬指數","6,778.76","+","157.66","2.38","",
"臺灣50報酬指數","13,758.20","+","374.95","2.80","",
"臺灣中型100報酬指數","12,416.22","+","349.77","2.90","",
"臺灣資訊科技報酬指數","16,824.83","+","615.79","3.80","",
"臺灣發達報酬指數","12,885.45","+","322.25","2.57","",
"臺灣高股息報酬指數","12,263.52","+","254.55","2.12","",
"臺灣就業99報酬指數","8,148.76","+","144.40","1.80","",
"臺灣高薪100報酬指數","6,748.09","+","119.33","1.80","",
"臺灣低波動高股息報酬指數","3,712.96","+","41.67","1.14","",
"未含金融電子股報酬指數","21,764.01","+","365.40","1.71","",
"小型股300報酬指數","6,758.13","+","154.56","2.34","",
"水泥類報酬指數","204.46","+","6.03","3.04","",
"食品類報酬指數","2,239.07","+","28.25","1.28","",
"塑膠類報酬指數","418.70","+","5.13","1.24","",
"紡織纖維類報酬指數","736.07","+","4.99","0.68","",
"電機機械類報酬指數","242.27","+","8.80","3.77","",
"電器電纜類報酬指數","65.07","+","1.66","2.62","",
"化學生技醫療類報酬指數","130.33","+","2.70","2.12","",
"化學類報酬指數","151.14","+","2.89","1.95","",
"生技醫療類報酬指數","73.87","+","1.72","2.38","",
"玻璃陶瓷類報酬指數","41.69","+","0.50","1.21","",
"造紙類報酬指數","266.40","+","1.87","0.71","",
"鋼鐵類報酬指數","150.94","+","1.72","1.15","",
"橡膠類報酬指數","357.08","+","3.48","0.98","",
"汽車類報酬指數","273.15","+","4.10","1.52","",
"電子類報酬指數","664.24","+","22.56","3.52","",
"半導體類報酬指數","246.93","+","9.79","4.13","",
"電腦及週邊設備類報酬指數","151.46","+","3.18","2.14","",
"光電類報酬指數","47.51","+","2.55","5.67","",
"通信網路類報酬指數","217.04","-","0.14","-0.06","",
"電子零組件類報酬指數","148.89","+","6.53","4.59","",
"電子通路類報酬指數","206.15","+","3.64","1.80","",
"資訊服務類報酬指數","169.77","+","1.13","0.67","",
"其他電子類報酬指數","101.97","+","3.55","3.61","",
"建材營造類報酬指數","435.56","+","5.79","1.35","",
"航運類報酬指數","84.94","+","0.71","0.84","",
"觀光類報酬指數","137.98","+","3.08","2.28","",
"金融保險類報酬指數","1,802.31","+","16.03","0.90","",
"貿易百貨類報酬指數","346.97","+","0.43","0.12","",
"油電燃氣類報酬指數","203.81","+","6.71","3.40","",
"其他類報酬指數","358.10","+","5.85","1.66","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","5,012.64","+","96.38","1.96","",
"臺灣中小型公司治理報酬指數","5,380.38","+","176.07","3.38","",
"臺灣IPO報酬指數","4,893.12","+","114.50","2.40","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣永續報酬指數","5,336.89","+","125.76","2.41","",
"漲升股利150報酬指數","6,518.82","+","146.38","2.30","",
"漲升股利100報酬指數","6,529.84","+","150.60","2.36","",
"藍籌 30 報酬指數","5,809.77","+","152.30","2.69","",
"工業菁英 30 報酬指數","6,149.10","+","210.32","3.54","",
"電子菁英 30 報酬指數","5,790.38","+","200.64","3.59","",
"低波動精選 30 報酬指數","6,261.03","+","41.19","0.66","",
"低貝塔 100 報酬指數","5,740.78","+","31.02","0.54","",
"中小型精選50報酬指數","5,787.28","+","143.85","2.55","",
"中小型A級動能50報酬指數","5,801.38","+","108.70","1.91","",
