"107年05月22日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","12,607.84","-","32.52","-0.26","",
"發行量加權股價指數","10,938.73","-","27.47","-0.25","",
"臺灣公司治理100指數","6,118.78","-","23.35","-0.38","",
"臺灣50指數","8,150.85","-","26.28","-0.32","",
"臺灣中型100指數","8,315.52","+","20.82","0.25","",
"臺灣資訊科技指數","10,234.46","+","11.98","0.12","",
"臺灣發達指數","9,019.14","-","54.04","-0.60","",
"臺灣高股息指數","6,198.72","+","3.49","0.06","",
"臺灣就業99指數","6,556.82","-","15.79","-0.24","",
"臺灣高薪100指數","6,071.00","-","14.54","-0.24","",
"臺灣低波動高股息指數","1,640.80","-","2.39","-0.15","",
"未含金融保險股指數","9,227.23","-","24.36","-0.26","",
"未含電子股指數","15,197.52","-","70.92","-0.46","",
"未含金融電子股指數","12,931.80","-","76.22","-0.59","",
"小型股300指數","6,549.87","+","4.21","0.06","",
"水泥窯製類指數","547.22","-","7.80","-1.41","",
"塑膠化工類指數","983.69","-","9.93","-1.00","",
"機電類指數","2,521.33","-","2.54","-0.10","",
"水泥類指數","141.87","-","1.98","-1.38","",
"食品類指數","1,714.97","+","0.75","0.04","",
"塑膠類指數","314.95","-","4.62","-1.45","",
"紡織纖維類指數","524.74","-","2.89","-0.55","",
"電機機械類指數","206.44","-","1.59","-0.76","",
"電器電纜類指數","64.03","-","0.71","-1.10","",
"化學生技醫療類指數","107.20","-","0.39","-0.36","",
"化學類指數","111.49","-","0.33","-0.30","",
"生技醫療類指數","71.63","-","0.32","-0.44","",
"玻璃陶瓷類指數","48.04","-","0.76","-1.56","",
"造紙類指數","238.89","-","1.87","-0.78","",
"鋼鐵類指數","103.40","-","0.29","-0.28","",
"橡膠類指數","268.85","+","3.26","1.23","",
"汽車類指數","227.47","+","0.20","0.09","",
"電子類指數","445.82","-","0.30","-0.07","",
"半導體類指數","166.29","-","0.11","-0.07","",
"電腦及週邊設備類指數","98.92","+","0.42","0.43","",
"光電類指數","40.50","-","0.13","-0.32","",
"通信網路類指數","123.92","-","0.08","-0.06","",
"電子零組件類指數","112.24","+","0.87","0.78","",
"電子通路類指數","130.03","+","0.11","0.08","",
"資訊服務類指數","94.59","-","0.62","-0.65","",
"其他電子類指數","93.17","-","0.92","-0.98","",
"建材營造類指數","275.14","-","0.49","-0.18","",
"航運類指數","63.65","+","0.20","0.32","",
"觀光類指數","117.38","-","0.83","-0.70","",
"金融保險類指數","1,275.50","-","2.15","-0.17","",
"貿易百貨類指數","258.32","-","2.31","-0.89","",
"油電燃氣類指數","157.46","-","0.62","-0.39","",
