"107年09月11日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","12,259.36","+","34.93","0.29","",
"發行量加權股價指數","10,752.30","+","26.50","0.25","",
"臺灣公司治理100指數","6,174.85","-","0.04","---","",
"臺灣50指數","8,295.70","-","11.91","-0.14","",
"臺灣中型100指數","7,663.81","+","85.13","1.12","",
"臺灣資訊科技指數","10,739.79","-","94.03","-0.87","",
"臺灣發達指數","8,645.41","+","86.62","1.01","",
"臺灣高股息指數","5,918.18","+","56.53","0.96","",
"臺灣就業99指數","6,371.26","+","39.49","0.62","",
"臺灣高薪100指數","5,951.95","+","28.37","0.48","",
"臺灣低波動高股息指數","1,623.23","+","11.15","0.69","",
"未含金融保險股指數","9,064.99","+","22.03","0.24","",
"未含電子股指數","14,869.42","+","70.87","0.48","",
"未含金融電子股指數","12,610.08","+","71.01","0.57","",
"小型股300指數","6,134.59","+","48.61","0.80","",
"水泥窯製類指數","519.04","-","8.90","-1.69","",
"塑膠化工類指數","961.75","+","3.50","0.37","",
"機電類指數","2,467.47","+","1.97","0.08","",
"水泥類指數","137.36","-","2.78","-1.98","",
"食品類指數","1,751.54","+","21.25","1.23","",
"塑膠類指數","310.47","+","0.27","0.09","",
"紡織纖維類指數","565.08","+","8.89","1.60","",
"電機機械類指數","166.94","+","1.25","0.75","",
"電器電纜類指數","51.52","+","0.66","1.30","",
"化學生技醫療類指數","101.12","+","1.01","1.01","",
"化學類指數","109.15","+","1.26","1.17","",
"生技醫療類指數","64.28","+","0.51","0.80","",
"玻璃陶瓷類指數","40.57","+","0.10","0.25","",
"造紙類指數","212.46","+","2.52","1.20","",
"鋼鐵類指數","108.23","+","0.32","0.30","",
"橡膠類指數","264.41","+","3.32","1.27","",
"汽車類指數","206.16","+","0.14","0.07","",
"電子類指數","439.96","+","0.22","0.05","",
"半導體類指數","174.15","-","1.85","-1.05","",
"電腦及週邊設備類指數","90.32","+","0.58","0.65","",
"光電類指數","39.49","+","0.35","0.89","",
"通信網路類指數","120.93","+","1.33","1.11","",
"電子零組件類指數","97.60","+","0.60","0.62","",
"電子通路類指數","114.61","+","0.37","0.32","",
"資訊服務類指數","91.35","-","0.33","-0.36","",
"其他電子類指數","87.07","+","2.27","2.68","",
"建材營造類指數","264.12","+","1.87","0.71","",
"航運類指數","61.39","+","0.59","0.97","",
"觀光類指數","103.63","-","1.02","-0.97","",
"金融保險類指數","1,258.17","+","3.37","0.27","",
"貿易百貨類指數","268.36","+","5.16","1.96","",
