"110年04月12日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","19,254.98","-","1.02","-0.01","",
"發行量加權股價指數","16,859.70","+","5.60","0.03","",
"臺灣公司治理100指數","9,847.59","-","18.82","-0.19","",
"臺灣50指數","13,656.41","-","67.22","-0.49","",
"臺灣50權重上限30%指數","12,798.41","-","44.62","-0.35","",
"臺灣中型100指數","12,659.12","+","152.78","1.22","",
"臺灣資訊科技指數","24,129.52","-","202.84","-0.83","",
"臺灣發達指數","10,605.77","+","115.74","1.10","",
"臺灣高股息指數","8,058.72","+","22.65","0.28","",
"臺灣就業99指數","9,834.87","+","198.02","2.05","",
"臺灣高薪100指數","8,591.32","+","58.08","0.68","",
"未含金融指數","14,883.81","-","21.16","-0.14","",
"未含電子指數","17,582.60","+","289.53","1.67","",
"未含金融電子指數","15,259.52","+","253.03","1.69","",
"小型股300指數","9,027.08","+","62.60","0.70","",
"水泥窯製類指數","708.57","+","6.77","0.96","",
"塑膠化工類指數","985.07","+","18.10","1.87","",
"機電類指數","4,677.80","-","37.30","-0.79","",
"水泥類指數","186.58","+","1.33","0.72","",
"食品類指數","1,902.67","+","0.26","0.01","",
"塑膠類指數","291.76","+","5.37","1.88","",
"紡織纖維類指數","627.26","+","10.83","1.76","",
"電機機械類指數","269.54","+","0.93","0.35","",
"電器電纜類指數","69.79","+","2.31","3.42","",
"化學生技醫療類指數","115.23","+","1.44","1.27","",
"化學類指數","124.46","+","2.03","1.66","",
"生技醫療類指數","73.34","+","0.63","0.87","",
"玻璃陶瓷類指數","57.15","+","1.42","2.55","",
"造紙類指數","413.77","+","36.86","9.78","",
"鋼鐵類指數","143.82","+","7.68","5.64","",
"橡膠類指數","383.58","+","10.37","2.78","",
"汽車類指數","347.56","-","1.10","-0.32","",
"電子工業類指數","838.62","-","7.09","-0.84","",
"半導體類指數","414.52","-","5.02","-1.20","",
"電腦及週邊設備類指數","144.20","-","0.41","-0.28","",
"光電類指數","50.72","+","1.38","2.80","",
"通信網路類指數","129.71","-","0.86","-0.66","",
"電子零組件類指數","175.49","-","2.87","-1.61","",
"電子通路類指數","162.15","-","0.25","-0.15","",
"資訊服務類指數","136.21","-","0.78","-0.57","",
"其他電子類指數","111.13","-","0.06","-0.05","",
"建材營造類指數","362.42","-","1.41","-0.39","",
"航運類指數","127.17","+","7.10","5.91","",
"觀光類指數","108.35","-","0.78","-0.71","",
"金融保險類指數","1,407.55","+","22.77","1.64","",
"貿易百貨類指數","283.97","+","0.44","0.16","",
"油電燃氣類指數","127.55","+","0.22","0.17","",
"其他類指數","356.67","+","3.36","0.95","",
"臺指日報酬兩倍指數","37,693.68","+","25.03","0.07","",
"臺指反向一倍指數","4,302.63","-","1.43","-0.03","",
"電子類兩倍槓桿指數","41,895.54","-","714.44","-1.68","",
"電子類反向指數","3,709.39","+","30.84","0.84","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,931.60","+","71.83","1.48","",
"臺灣中小型公司治理指數","7,688.96","-","47.20","-0.61","",
"臺灣IPO指數","8,047.24","-","66.76","-0.82","",
"智慧中立指數","4,471.11","+","15.66","0.35","",
"臺灣企業社會責任中小型指數","7,079.71","+","120.56","1.73","",
"臺灣5G+通訊指數","6,780.53","-","74.66","-1.09","",
"臺灣全市場指數","5,767.51","-","0.91","-0.02","",
"臺灣全市場半導體指數","6,055.04","-","108.79","-1.76","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","23,050.97","+","733.92","3.29","",
"金融類日報酬反向一倍指數","5,710.87","-","95.47","-1.64","",
"漲升股利150指數","8,956.89","+","39.06","0.44","",
