"107年10月12日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","11,392.01","+","271.63","2.44","",
"發行量加權股價指數","10,045.81","+","239.70","2.44","",
"臺灣公司治理100指數","5,836.76","+","142.80","2.51","",
"臺灣50指數","7,755.69","+","232.81","3.09","",
"臺灣中型100指數","6,953.11","+","110.20","1.61","",
"臺灣資訊科技指數","9,739.12","+","339.18","3.61","",
"臺灣發達指數","8,056.30","+","217.00","2.77","",
"臺灣高股息指數","5,557.75","+","106.89","1.96","",
"臺灣就業99指數","6,034.50","+","121.78","2.06","",
"臺灣高薪100指數","5,668.80","+","111.91","2.01","",
"臺灣低波動高股息指數","1,565.19","+","22.70","1.47","",
"未含金融保險股指數","8,389.33","+","216.91","2.65","",
"未含電子股指數","14,492.81","+","229.94","1.61","",
"未含金融電子股指數","12,206.96","+","213.74","1.78","",
"小型股300指數","5,636.66","+","75.91","1.37","",
"水泥窯製類指數","531.35","+","13.04","2.52","",
"塑膠化工類指數","924.26","+","21.94","2.43","",
"機電類指數","2,224.00","+","68.34","3.17","",
"水泥類指數","142.57","+","4.03","2.91","",
"食品類指數","1,644.86","+","39.71","2.47","",
"塑膠類指數","298.13","+","8.50","2.93","",
"紡織纖維類指數","531.70","+","9.55","1.83","",
"電機機械類指數","158.60","+","3.29","2.12","",
"電器電纜類指數","46.83","-","0.20","-0.43","",
"化學生技醫療類指數","97.99","+","1.21","1.25","",
"化學類指數","105.61","+","1.21","1.16","",
"生技醫療類指數","62.42","+","0.84","1.36","",
"玻璃陶瓷類指數","37.90","-","0.06","-0.16","",
"造紙類指數","194.18","+","1.80","0.94","",
"鋼鐵類指數","108.08","+","1.55","1.45","",
"橡膠類指數","251.64","+","2.30","0.92","",
"汽車類指數","192.15","+","0.95","0.50","",
"電子類指數","395.81","+","12.39","3.23","",
"半導體類指數","156.42","+","5.93","3.94","",
"電腦及週邊設備類指數","82.69","+","1.33","1.63","",
"光電類指數","33.43","+","1.93","6.13","",
"通信網路類指數","116.62","+","0.19","0.16","",
"電子零組件類指數","83.00","+","3.17","3.97","",
"電子通路類指數","104.69","+","1.19","1.15","",
"資訊服務類指數","86.90","+","0.96","1.12","",
"其他電子類指數","78.76","+","1.89","2.46","",
"建材營造類指數","260.05","+","2.14","0.83","",
"航運類指數","61.71","+","1.32","2.19","",
"觀光類指數","103.51","+","1.52","1.49","",
"金融保險類指數","1,246.34","+","14.96","1.21","",
"貿易百貨類指數","255.49","+","6.48","2.60","",
"油電燃氣類指數","159.69","+","0.60","0.38","",
"其他類指數","224.46","+","3.15","1.42","",
"臺指日報酬兩倍指數","14,350.15","+","668.85","4.89","",
"臺指日報酬反向一倍指數","7,739.17","-","193.92","-2.44","",
"電子類兩倍槓桿指數","10,315.80","+","626.23","6.46","",
"電子類反向指數","8,687.92","-","290.12","-3.23","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,685.50","+","114.61","2.51","",
"臺灣中小型公司治理指數","4,534.10","+","109.62","2.48","",
"臺灣IPO指數","4,538.31","+","105.06","2.37","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣永續指數","4,997.01","+","135.49","2.79","",
"漲升股利150指數","5,730.08","+","141.13","2.53","",
"漲升股利100指數","5,761.71","+","148.02","2.64","",
"藍籌30指數","5,331.90","+","168.02","3.25","",
"工業菁英30指數","5,637.85","+","215.48","3.97","",
"電子菁英30指數","5,176.19","+","172.42","3.45","",
"低波動精選30指數","5,726.37","+","112.48","2.00","",
"低貝塔100指數","5,231.22","+","33.24","0.64","",
"中小型精選50指數","4,966.06","+","90.16","1.85","",
"中小型A級動能50指數","5,290.14","+","97.21","1.87","",
"特選高息低波指數","4,724.14","+","74.86","1.61","",
"特選內需高收益指數","5,183.44","+","80.24","1.57","",
"價值投資指數","5,165.48","+","136.47","2.71","",
"藍籌30反向一倍指數","9,109.53","-","306.37","-3.25","",
"工業菁英30反向一倍指數","10,054.62","-","416.10","-3.97","",
"金融類日報酬兩倍指數","19,087.11","+","452.78","2.43","",
"金融類日報酬反向一倍指數","6,806.23","-","83.71","-1.21","",
"報酬指數(臺灣證券交易所)"
