"107年05月08日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","12,321.33","+","92.79","0.76","",
"發行量加權股價指數","10,691.38","+","86.47","0.82","",
"臺灣公司治理100指數","6,022.66","+","65.12","1.09","",
"臺灣50指數","7,995.71","+","87.38","1.10","",
"臺灣中型100指數","7,901.58","+","0.02","--","",
"臺灣資訊科技指數","10,118.31","+","160.62","1.61","",
"臺灣發達指數","8,680.96","+","26.93","0.31","",
"臺灣高股息指數","5,932.13","+","50.80","0.86","",
"臺灣就業99指數","6,409.12","+","39.49","0.62","",
"臺灣高薪100指數","5,949.26","+","46.85","0.79","",
"臺灣低波動高股息指數","1,602.58","+","10.22","0.64","",
"未含金融保險股指數","9,024.76","+","76.21","0.85","",
"未含電子股指數","14,857.62","+","78.80","0.53","",
"未含金融電子股指數","12,666.81","+","64.72","0.51","",
"小型股300指數","6,374.87","+","22.92","0.36","",
"水泥窯製類指數","513.99","+","6.74","1.33","",
"塑膠化工類指數","947.39","+","1.99","0.21","",
"機電類指數","2,461.77","+","24.11","0.99","",
"水泥類指數","130.66","+","2.06","1.60","",
"食品類指數","1,682.47","-","6.71","-0.40","",
"塑膠類指數","301.96","+","0.98","0.33","",
"紡織纖維類指數","516.80","+","7.56","1.48","",
"電機機械類指數","201.44","-","0.54","-0.27","",
"電器電纜類指數","56.30","-","0.93","-1.63","",
"化學生技醫療類指數","104.07","-","0.15","-0.14","",
"化學類指數","106.70","+","0.63","0.59","",
"生技醫療類指數","70.82","-","0.74","-1.03","",
"玻璃陶瓷類指數","49.77","+","0.02","0.04","",
"造紙類指數","245.37","+","3.56","1.47","",
"鋼鐵類指數","103.54","+","0.42","0.41","",
"橡膠類指數","263.80","+","0.14","0.05","",
"汽車類指數","228.22","+","0.17","0.07","",
"電子類指數","435.65","+","4.57","1.06","",
"半導體類指數","164.29","+","2.71","1.68","",
"電腦及週邊設備類指數","96.12","+","0.42","0.44","",
"光電類指數","39.51","+","0.35","0.89","",
"通信網路類指數","125.44","+","0.44","0.35","",
"電子零組件類指數","100.41","-","0.35","-0.35","",
"電子通路類指數","124.67","+","1.27","1.03","",
"資訊服務類指數","92.72","+","0.11","0.12","",
"其他電子類指數","91.32","+","0.83","0.92","",
"建材營造類指數","269.46","+","1.13","0.42","",
"航運類指數","64.23","-","0.08","-0.12","",
"觀光類指數","123.43","+","0.30","0.24","",
"金融保險類指數","1,241.17","+","7.18","0.58","",
"貿易百貨類指數","251.16","+","1.76","0.71","",
"油電燃氣類指數","153.39","+","3.60","2.40","",
"其他類指數","247.96","+","0.46","0.19","",
"臺指日報酬兩倍指數","16,434.92","+","263.71","1.63","",
"臺指日報酬反向一倍指數","7,348.80","-","60.41","-0.82","",
"電子類兩倍槓桿指數","12,697.99","+","263.64","2.12","",
"電子類反向指數","8,015.11","-","85.88","-1.06","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","5,854.53","-","30.33","-0.52","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣永續指數","5,140.52","+","60.32","1.19","",
"漲升股利150指數","6,033.71","+","46.34","0.77","",
"漲升股利100指數","6,031.59","+","46.71","0.78","",
"藍籌30指數","5,682.01","+","38.30","0.68","",
"工業菁英30指數","6,022.19","+","51.56","0.86","",
"電子菁英30指數","5,774.09","+","43.80","0.76","",
"低波動精選30指數","5,721.79","+","37.37","0.66","",
"低貝塔100指數","5,469.72","+","16.72","0.31","",
"中小型精選50指數","5,536.05","+","0.81","0.01","",
"中小型A級動能50指數","6,355.85","-","37.66","-0.59","",
"特選高息低波指數","5,114.38","+","18.45","0.36","",
"特選內需高收益指數","5,331.82","+","14.30","0.27","",
"藍籌30反向一倍指數","8,666.28","-","59.21","-0.68","",
"工業菁英30反向一倍指數","9,579.74","-","83.45","-0.86","",
"金融類日報酬兩倍指數","19,052.77","+","219.17","1.16","",
"金融類日報酬反向一倍指數","6,877.66","-","40.25","-0.58","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","14,246.35","+","107.29","0.76","",
"發行量加權股價報酬指數","18,317.87","+","148.15","0.82","",
"臺灣公司治理100報酬指數","6,797.62","+","73.50","1.09","",
"臺灣50報酬指數","13,850.52","+","151.36","1.10","",
"臺灣中型100報酬指數","12,684.53","+","0.03","--","",
"臺灣資訊科技報酬指數","16,623.42","+","263.88","1.61","",
"臺灣發達報酬指數","13,541.31","+","42.00","0.31","",
"臺灣高股息報酬指數","11,693.00","+","100.12","0.86","",
"臺灣就業99報酬指數","8,169.20","+","50.34","0.62","",
"臺灣高薪100報酬指數","6,817.97","+","53.69","0.79","",
"臺灣低波動高股息報酬指數","3,628.02","+","23.15","0.64","",
"未含金融電子股報酬指數","21,817.08","+","111.47","0.51","",
"小型股300報酬指數","6,937.39","+","24.94","0.36","",
"水泥類報酬指數","198.03","+","3.12","1.60","",
"食品類報酬指數","2,136.99","-","8.53","-0.40","",
"塑膠類報酬指數","425.88","+","1.37","0.32","",
"紡織纖維類報酬指數","699.45","+","10.23","1.48","",
