"107年03月22日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","12,684.91","-","16.09","-0.13","",
"發行量加權股價指數","11,005.84","-","5.23","-0.05","",
"臺灣公司治理100指數","6,271.27","+","12.01","0.19","",
"臺灣50指數","8,346.79","-","12.72","-0.15","",
"臺灣中型100指數","8,009.30","-","31.50","-0.39","",
"臺灣資訊科技指數","11,002.69","-","49.21","-0.45","",
"臺灣發達指數","8,745.75","+","1.14","0.01","",
"臺灣高股息指數","6,127.29","-","4.52","-0.07","",
"臺灣就業99指數","6,508.30","-","9.27","-0.14","",
"臺灣高薪100指數","6,088.32","+","10.91","0.18","",
"臺灣低波動高股息指數","1,585.83","+","2.48","0.16","",
"未含金融保險股指數","9,345.88","-","7.40","-0.08","",
"未含電子股指數","14,716.68","+","56.55","0.39","",
"未含金融電子股指數","12,548.17","+","59.36","0.48","",
"小型股300指數","6,439.02","-","45.92","-0.71","",
"水泥窯製類指數","473.91","+","0.86","0.18","",
"塑膠化工類指數","945.88","-","5.44","-0.57","",
"機電類指數","2,608.73","-","11.00","-0.42","",
"水泥類指數","120.55","+","0.42","0.35","",
"食品類指數","1,667.16","-","5.12","-0.31","",
"塑膠類指數","300.28","-","1.62","-0.54","",
"紡織纖維類指數","498.65","-","1.50","-0.30","",
"電機機械類指數","200.72","-","2.54","-1.25","",
"電器電纜類指數","51.51","-","0.26","-0.50","",
"化學生技醫療類指數","102.04","-","1.02","-0.99","",
"化學類指數","107.00","-","0.68","-0.63","",
"生技醫療類指數","67.44","-","1.01","-1.48","",
"玻璃陶瓷類指數","45.74","-","0.29","-0.63","",
"造紙類指數","244.05","-","1.58","-0.64","",
"鋼鐵類指數","104.16","+","0.25","0.24","",
"橡膠類指數","280.41","-","0.13","-0.05","",
"汽車類指數","231.09","-","2.68","-1.15","",
"電子類指數","463.17","-","1.81","-0.39","",
"半導體類指數","179.40","-","1.00","-0.55","",
"電腦及週邊設備類指數","101.64","-","0.43","-0.42","",
"光電類指數","39.92","-","0.52","-1.29","",
"通信網路類指數","127.51","+","0.58","0.46","",
"電子零組件類指數","97.52","-","0.25","-0.26","",
"電子通路類指數","123.81","-","0.01","-0.01","",
"資訊服務類指數","91.43","-","0.31","-0.34","",
"其他電子類指數","101.08"," ","--","--","",
"建材營造類指數","264.60","-","0.32","-0.12","",
"航運類指數","64.72","-","0.29","-0.45","",
"觀光類指數","129.48","+","0.06","0.05","",
"金融保險類指數","1,229.01","+","2.05","0.17","",
"貿易百貨類指數","249.92","-","3.75","-1.48","",
"油電燃氣類指數","147.26","+","12.55","9.32","",
"其他類指數","251.84","-","1.83","-0.72","",
"臺指日報酬兩倍指數","17,450.37","-","16.59","-0.09","",
"臺指日報酬反向一倍指數","7,152.82","+","3.40","0.05","",
"電子類兩倍槓桿指數","14,407.05","-","113.04","-0.78","",
"電子類反向指數","7,566.66","+","29.34","0.39","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","5,459.25","-","85.10","-1.53","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣永續指數","5,383.78","+","0.47","0.01","",
"漲升股利150指數","6,190.00","+","22.04","0.36","",
"漲升股利100指數","6,192.06","+","26.74","0.43","",
"藍籌30指數","5,870.66","-","12.71","-0.22","",
"工業菁英30指數","6,274.64","-","35.89","-0.57","",
"電子菁英30指數","6,131.73","-","10.77","-0.18","",
"低波動精選30指數","5,827.73","+","8.03","0.14","",
"低貝塔100指數","5,501.00","-","0.65","-0.01","",
"中小型精選50指數","5,686.78","-","64.21","-1.12","",
"中小型A級動能50指數","6,277.79","-","87.68","-1.38","",
"特選高息低波指數","5,168.44","-","2.23","-0.04","",
"特選內需高收益指數","5,219.98","+","6.82","0.13","",
"藍籌30反向一倍指數","8,405.81","+","18.12","0.22","",
"工業菁英30反向一倍指數","9,218.29","+","52.13","0.57","",
"金融類日報酬兩倍指數","18,700.32","+","62.28","0.33","",
"金融類日報酬反向一倍指數","6,952.73","-","11.64","-0.17","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","14,666.74","-","18.60","-0.13","",
"發行量加權股價報酬指數","18,856.65","-","8.95","-0.05","",
"臺灣公司治理100報酬指數","7,078.23","+","13.56","0.19","",
"臺灣50報酬指數","14,458.67","-","22.05","-0.15","",
"臺灣中型100報酬指數","12,857.45","-","50.58","-0.39","",
"臺灣資訊科技報酬指數","18,076.38","-","80.84","-0.45","",
"臺灣發達報酬指數","13,642.39","+","1.78","0.01","",
"臺灣高股息報酬指數","12,077.68","-","8.92","-0.07","",
"臺灣就業99報酬指數","8,295.61","-","11.82","-0.14","",
"臺灣高薪100報酬指數","6,977.34","+","12.51","0.18","",
"臺灣低波動高股息報酬指數","3,590.09","+","5.60","0.16","",
"未含金融電子股報酬指數","21,612.74","+","102.24","0.48","",
"小型股300報酬指數","7,007.19","-","49.98","-0.71","",
"水泥類報酬指數","182.72","+","0.65","0.36","",
"食品類報酬指數","2,117.55","-","6.49","-0.31","",
"塑膠類報酬指數","423.51","-","2.30","-0.54","",
"紡織纖維類報酬指數","674.89","-","2.03","-0.30","",
"電機機械類報酬指數","266.08","-","3.37","-1.25","",
"電器電纜類報酬指數","62.92","-","0.33","-0.52","",
"化學生技醫療類報酬指數","137.12","-","1.37","-0.99","",
"化學類報酬指數","149.45","-","0.94","-0.63","",
"生技醫療類報酬指數","84.65","-","1.26","-1.47","",
"玻璃陶瓷類報酬指數","49.60","-","0.31","-0.62","",
"造紙類報酬指數","311.89","-","2.02","-0.64","",
"鋼鐵類報酬指數","143.12","+","0.35","0.25","",
"橡膠類報酬指數","381.18","-","0.17","-0.04","",
"汽車類報酬指數","307.05","-","3.56","-1.15","",
"電子類報酬指數","727.60","-","2.84","-0.39","",
"半導體類報酬指數","268.79","-","1.50","-0.55","",
"電腦及週邊設備類報酬指數","170.49","-","0.72","-0.42","",
"光電類報酬指數","50.64","-","0.66","-1.29","",
"通信網路類報酬指數","222.14","+","1.01","0.46","",
"電子零組件類報酬指數","151.69","-","0.39","-0.26","",
"電子通路類報酬指數","217.82","-","0.01","--","",
"資訊服務類報酬指數","164.01","-","0.56","-0.34","",
"其他電子類報酬指數","132.51","+","0.01","0.01","",
"建材營造類報酬指數","410.84","-","0.50","-0.12","",
"航運類報酬指數","82.06","-","0.37","-0.45","",
"觀光類報酬指數","154.74","+","0.08","0.05","",
"金融保險類報酬指數","1,730.09","+","2.89","0.17","",
"貿易百貨類報酬指數","322.73","-","4.85","-1.48","",
"油電燃氣類報酬指數","195.17","+","16.64","9.32","",
"其他類報酬指數","358.62","-","2.62","-0.73","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","5,530.11","-","86.21","-1.53","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣永續報酬指數","5,597.25","+","0.48","0.01","",
"漲升股利150報酬指數","6,667.43","+","23.74","0.36","",
"漲升股利100報酬指數","6,659.38","+","28.76","0.43","",
"藍籌 30 報酬指數","6,114.41","-","13.23","-0.22","",
"工業菁英 30 報酬指數","6,542.50","-","37.42","-0.57","",
"電子菁英 30 報酬指數","6,371.03","-","11.18","-0.18","",
"低波動精選 30 報酬指數","6,100.69","+","8.41","0.14","",
"低貝塔 100 報酬指數","5,750.17","-","0.67","-0.01","",
"中小型精選50報酬指數","5,967.05","-","67.37","-1.12","",
"中小型A級動能50報酬指數","6,475.90","-","90.45","-1.38","",
"特選高息低波報酬指數","5,399.41","-","2.33","-0.04","",
"特選內需高收益報酬指數","5,219.98","+","6.82","0.13","",
"特股高息20報酬指數","--","","--","--","",
"台灣500報酬指數","--","","--","--","",
"備註:"
