"107年12月11日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","11,104.87","+","68.87","0.62","",
"發行量加權股價指數","9,707.04","+","59.50","0.62","",
"臺灣公司治理100指數","5,524.25","+","33.14","0.60","",
"臺灣50指數","7,252.86","+","55.21","0.77","",
"臺灣中型100指數","7,046.55","+","26.80","0.38","",
"臺灣資訊科技指數","9,297.35","+","109.36","1.19","",
"臺灣發達指數","7,517.24","+","37.57","0.50","",
"臺灣高股息指數","5,652.98","+","27.13","0.48","",
"臺灣就業99指數","5,920.08","+","12.03","0.20","",
"臺灣高薪100指數","5,428.72","+","19.71","0.36","",
"臺灣低波動高股息指數","1,517.61","+","4.54","0.30","",
"未含金融保險股指數","8,115.77","+","58.12","0.72","",
"未含電子股指數","13,923.03","+","17.28","0.12","",
"未含金融電子股指數","11,733.01","+","20.05","0.17","",
"小型股300指數","5,803.64","+","43.72","0.76","",
"水泥窯製類指數","475.66","-","0.05","-0.01","",
"塑膠化工類指數","854.43","-","1.72","-0.20","",
"機電類指數","2,169.54","+","23.20","1.08","",
"水泥類指數","126.37","-","0.04","-0.03","",
"食品類指數","1,589.34","+","11.37","0.72","",
"塑膠類指數","273.05","-","1.33","-0.48","",
"紡織纖維類指數","507.58","+","3.72","0.74","",
"電機機械類指數","170.03","+","2.18","1.30","",
"電器電纜類指數","46.90","-","0.28","-0.59","",
"化學生技醫療類指數","91.63","+","0.72","0.79","",
"化學類指數","102.20","+","0.75","0.74","",
"生技醫療類指數","55.56","+","0.48","0.87","",
"玻璃陶瓷類指數","36.25","+","0.04","0.11","",
"造紙類指數","193.32","+","3.92","2.07","",
"鋼鐵類指數","104.25","+","0.30","0.29","",
"橡膠類指數","243.86","+","0.09","0.04","",
"汽車類指數","194.50","+","0.34","0.18","",
"電子類指數","384.59","+","4.12","1.08","",
"半導體類指數","149.52","+","1.86","1.26","",
"電腦及週邊設備類指數","82.30","+","0.54","0.66","",
"光電類指數","32.88","+","0.61","1.89","",
"通信網路類指數","119.67","+","0.91","0.77","",
"電子零組件類指數","86.90","+","1.02","1.19","",
"電子通路類指數","106.76","-","0.11","-0.10","",
"資訊服務類指數","89.72","+","0.42","0.47","",
"其他電子類指數","68.71","+","0.33","0.48","",
"建材營造類指數","262.59","-","0.48","-0.18","",
"航運類指數","63.82","+","0.45","0.71","",
"觀光類指數","104.91","-","1.96","-1.83","",
"金融保險類指數","1,196.04","+","0.21","0.02","",
"貿易百貨類指數","249.87","+","6.10","2.50","",
"油電燃氣類指數","141.83","-","1.18","-0.83","",
"其他類指數","234.18","-","0.17","-0.07","",
"臺指日報酬兩倍指數","13,336.66","+","162.50","1.23","",
"臺指日報酬反向一倍指數","7,972.36","-","49.47","-0.62","",
"電子類兩倍槓桿指數","9,656.86","+","204.71","2.17","",
"電子類反向指數","8,865.73","-","97.06","-1.08","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,719.56","+","38.53","0.82","",
"臺灣中小型公司治理指數","4,635.50","+","24.15","0.52","",
"臺灣IPO指數","4,523.44","+","25.32","0.56","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣永續指數","4,708.89","+","33.29","0.71","",
"漲升股利150指數","5,544.30","+","23.35","0.42","",
"漲升股利100指數","5,541.53","+","20.54","0.37","",
"藍籌30指數","5,079.29","+","20.91","0.41","",
"工業菁英30指數","5,277.74","+","28.12","0.54","",
"電子菁英30指數","5,038.33","+","47.24","0.95","",
"低波動精選30指數","5,604.83","+","8.12","0.15","",
"低貝塔100指數","5,202.41","+","20.49","0.40","",
"中小型精選50指數","5,067.62","+","33.34","0.66","",
"中小型A級動能50指數","5,365.04","+","33.05","0.62","",
"特選高息低波指數","4,673.67","+","9.04","0.19","",
"特選內需高收益指數","5,076.97","+","44.32","0.88","",
"價值投資指數","4,952.35","+","24.51","0.50","",
"藍籌30反向一倍指數","9,510.84","-","39.48","-0.41","",
"工業菁英30反向一倍指數","10,654.08","-","57.38","-0.54","",
"金融類日報酬兩倍指數","17,539.33","+","6.16","0.04","",
"金融類日報酬反向一倍指數","7,077.07","-","1.24","-0.02","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","13,357.37","+","82.84","0.62","",
"發行量加權股價報酬指數","17,318.22","+","106.16","0.62","",
"臺灣公司治理100報酬指數","6,509.72","+","39.06","0.60","",
"臺灣50報酬指數","13,081.22","+","99.58","0.77","",
"臺灣中型100報酬指數","11,769.16","+","44.76","0.38","",
"臺灣資訊科技報酬指數","15,896.67","+","186.98","1.19","",
"臺灣發達報酬指數","12,195.08","+","60.95","0.50","",
"臺灣高股息報酬指數","11,830.70","+","56.78","0.48","",
"臺灣就業99報酬指數","7,859.20","+","15.97","0.20","",
"臺灣高薪100報酬指數","6,500.19","+","23.61","0.36","",
"臺灣低波動高股息報酬指數","3,602.78","+","10.77","0.30","",
"未含金融電子股報酬指數","21,159.98","+","36.15","0.17","",
"小型股300報酬指數","6,570.27","+","49.49","0.76","",
"水泥類報酬指數","197.51","-","0.07","-0.04","",
"食品類報酬指數","2,141.04","+","15.32","0.72","",
"塑膠類報酬指數","406.64","-","1.98","-0.48","",
"紡織纖維類報酬指數","713.10","+","5.22","0.74","",
"電機機械類報酬指數","231.77","+","2.98","1.30","",
"電器電纜類報酬指數","59.70","-","0.35","-0.58","",
"化學生技醫療類報酬指數","127.27","+","1.00","0.79","",
"化學類報酬指數","148.62","+","1.09","0.74","",
"生技醫療類報酬指數","71.39","+","0.62","0.88","",
"玻璃陶瓷類報酬指數","40.46","+","0.05","0.12","",
"造紙類報酬指數","259.13","+","5.26","2.07","",
"鋼鐵類報酬指數","148.67","+","0.44","0.30","",
"橡膠類報酬指數","343.93","+","0.12","0.03","",
"汽車類報酬指數","272.58","+","0.47","0.17","",
"電子類報酬指數","626.68","+","6.72","1.08","",
"半導體類報酬指數","232.09","+","2.88","1.26","",
"電腦及週邊設備類報酬指數","145.45","+","0.95","0.66","",
"光電類報酬指數","43.14","+","0.81","1.91","",
"通信網路類報酬指數","217.45","+","1.64","0.76","",
"電子零組件類報酬指數","139.49","+","1.64","1.19","",
"電子通路類報酬指數","198.97","-","0.19","-0.10","",
"資訊服務類報酬指數","169.50","+","0.79","0.47","",
"其他電子類報酬指數","92.70","+","0.45","0.49","",
"建材營造類報酬指數","429.47","-","0.79","-0.18","",
"航運類報酬指數","83.37","+","0.58","0.70","",
"觀光類報酬指數","129.24","-","2.41","-1.83","",
"金融保險類報酬指數","1,756.57","+","0.31","0.02","",
"貿易百貨類報酬指數","344.63","+","8.41","2.50","",
"油電燃氣類報酬指數","198.05","-","1.65","-0.83","",
"其他類報酬指數","348.04","-","0.26","-0.07","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","4,861.01","+","39.68","0.82","",
"臺灣中小型公司治理報酬指數","5,072.53","+","26.43","0.52","",
"臺灣IPO報酬指數","4,634.20","+","25.94","0.56","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣永續報酬指數","5,102.10","+","36.07","0.71","",
"漲升股利150報酬指數","6,261.60","+","26.37","0.42","",
"漲升股利100報酬指數","6,260.31","+","23.20","0.37","",
"藍籌 30 報酬指數","5,510.76","+","22.69","0.41","",
"工業菁英 30 報酬指數","5,732.72","+","30.54","0.54","",
"電子菁英 30 報酬指數","5,424.27","+","50.86","0.95","",
"低波動精選 30 報酬指數","6,130.98","+","8.88","0.15","",
"低貝塔 100 報酬指數","5,685.19","+","22.39","0.40","",
"中小型精選50報酬指數","5,578.72","+","36.71","0.66","",
"中小型A級動能50報酬指數","5,652.76","+","34.81","0.62","",
"特選高息低波報酬指數","5,147.48","+","9.96","0.19","",
"特選內需高收益報酬指數","5,379.81","+","46.97","0.88","",
"價值投資報酬指數","5,238.95","+","25.93","0.50","",
"特股高息20報酬指數","--","","--","--","",
"台灣500報酬指數","--","","--","--","",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",
"特殊處理註記說明如下：<br>(1)A:指數公司重新計算指數收盤點數。<br>(2)B:依據編製規則，採商品(指數)非收盤價(點數)計算指數收盤點數。<br>(3)空白:無特殊處理。<br>(4)有關A、B兩種特殊處理註記，其原因及說明請至<a href= 'https://www.taiwanindex.com.tw/' target='_blank'>臺灣指數公司網站</a>查閱相關指數編製規則。",

