"110年05月03日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","19,602.30","-","408.61","-2.04","",
"發行量加權股價指數","17,222.35","-","344.31","-1.96","",
"臺灣公司治理100指數","10,026.08","-","165.88","-1.63","",
"臺灣50指數","13,731.25","-","277.41","-1.98","",
"臺灣50權重上限30%指數","13,053.14","-","262.61","-1.97","",
"臺灣中型100指數","13,402.74","-","293.49","-2.14","",
"臺灣資訊科技指數","23,888.15","-","673.91","-2.74","",
"臺灣發達指數","11,478.79","-","81.84","-0.71","",
"臺灣高股息指數","8,282.38","-","59.52","-0.71","",
"臺灣就業99指數","10,259.78","-","343.32","-3.24","",
"臺灣高薪100指數","8,958.55","-","125.53","-1.38","",
"未含金融指數","15,136.36","-","342.20","-2.21","",
"未含電子指數","18,967.23","-","94.00","-0.49","",
"未含金融電子指數","16,558.50","-","130.63","-0.78","",
"小型股300指數","9,310.47","-","238.79","-2.50","",
"水泥窯製類指數","806.03","-","10.20","-1.25","",
"塑膠化工類指數","1,021.15","-","6.15","-0.60","",
"機電類指數","4,640.89","-","134.09","-2.81","",
"水泥類指數","201.68","-","3.40","-1.66","",
"食品類指數","1,984.33","-","18.17","-0.91","",
"塑膠類指數","305.69","-","0.31","-0.10","",
"紡織纖維類指數","683.49","+","3.03","0.45","",
"電機機械類指數","269.81","-","6.30","-2.28","",
"電器電纜類指數","91.28","-","4.46","-4.66","",
"化學生技醫療類指數","117.67","-","0.79","-0.67","",
"化學類指數","132.59","-","1.24","-0.93","",
"生技醫療類指數","71.47","-","0.26","-0.36","",
"玻璃陶瓷類指數","85.01","+","0.54","0.64","",
"造紙類指數","444.78","-","16.41","-3.56","",
"鋼鐵類指數","182.46","-","2.79","-1.51","",
"橡膠類指數","385.70","-","11.69","-2.94","",
"汽車類指數","344.41","-","8.75","-2.48","",
"電子工業類指數","830.51","-","24.01","-2.81","",
"半導體類指數","410.09","-","12.21","-2.89","",
"電腦及週邊設備類指數","145.15","-","1.69","-1.15","",
"光電類指數","51.34","-","3.23","-5.92","",
"通信網路類指數","131.25","-","1.73","-1.30","",
"電子零組件類指數","173.56","-","4.96","-2.78","",
"電子通路類指數","165.98","-","2.37","-1.41","",
"資訊服務類指數","134.16","-","3.11","-2.27","",
"其他電子類指數","105.19","-","3.21","-2.96","",
"建材營造類指數","371.94","-","6.42","-1.70","",
"航運類指數","184.40","+","8.21","4.66","",
"觀光類指數","106.37","-","4.17","-3.77","",
"金融保險類指數","1,495.61","+","3.96","0.27","",
"貿易百貨類指數","288.97","-","3.75","-1.28","",
"油電燃氣類指數","132.20","-","1.81","-1.35","",
"其他類指數","359.19","-","6.93","-1.89","",
"臺指日報酬兩倍指數","39,289.29","-","1,602.99","-3.92","",
"臺指反向一倍指數","4,207.39","+","80.88","1.96","",
"電子類兩倍槓桿指數","41,014.44","-","2,442.05","-5.62","",
"電子類反向指數","3,738.89","+","102.18","2.81","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,677.88","-","11.34","-0.24","",
"臺灣中小型公司治理指數","7,764.77","-","146.31","-1.85","",
"臺灣IPO指數","7,518.56","-","114.88","-1.50","",
"智慧中立指數","4,442.08","-","18.88","-0.42","",
"臺灣企業社會責任中小型指數","7,728.41","-","64.84","-0.83","",
"臺灣5G+通訊指數","6,834.80","-","236.60","-3.35","",
"臺灣全市場指數","5,877.95","-","127.89","-2.13","",
"臺灣全市場半導體指數","6,168.86","-","266.22","-4.14","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","25,986.44","+","137.25","0.53","",
"金融類日報酬反向一倍指數","5,366.23","-","14.28","-0.27","",
"漲升股利150指數","9,273.72","-","246.87","-2.59","",
"漲升股利100指數","8,282.26","-","154.19","-1.83","",
"藍籌30指數","8,725.79","-","154.01","-1.73","",
"工業菁英30指數","9,819.89","-","275.12","-2.73","",
"電子菁英30指數","9,195.25","-","152.44","-1.63","",
"低波動股利精選30指數","6,719.96","-","4.73","-0.07","",
"低貝塔100指數","7,497.11","-","118.03","-1.55","",
"中小型精選50指數","7,416.56","-","73.90","-0.99","",
"中小型A級動能50指數","16,123.86","-","290.34","-1.77","",
"特選高息低波指數","7,340.36","-","89.08","-1.20","",
"臺灣永續指數","8,775.95","-","170.17","-1.90","",
"特選內需高收益指數","6,184.79","-","79.70","-1.27","",
"價值投資指數","8,212.43","-","160.01","-1.91","",
"中小型300指數","8,857.87","-","168.05","-1.86","",
"臺灣勞工權益指數","7,604.19","-","75.26","-0.98","",
"智慧投資多因子30指數","6,334.17","-","107.58","-1.67","",
"臺股期貨指數","8,209.57","-","151.32","-1.81","",
"臺灣上櫃企業社會責任指數","6,538.29","-","248.29","-3.66","",
"特選Smart多因子指數","6,694.78","-","112.27","-1.65","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","25,538.53","-","532.36","-2.04","",
"發行量加權股價報酬指數","33,311.88","-","665.98","-1.96","",
"臺灣公司治理100報酬指數","12,801.80","-","211.81","-1.63","",
"臺灣50報酬指數","26,903.67","-","543.53","-1.98","",
"臺灣50權重上限30%報酬指數","25,576.81","-","514.58","-1.97","",
"臺灣中型100報酬指數","24,185.44","-","529.61","-2.14","",
"臺灣資訊科技股報酬指數","44,277.79","-","1,249.12","-2.74","",
"臺灣發達報酬指數","20,243.81","-","144.33","-0.71","",
"臺灣高股息報酬指數","19,784.90","-","142.16","-0.71","",
"臺灣就業99報酬指數","14,713.44","-","492.34","-3.24","",
"臺灣高薪100報酬指數","11,714.70","-","164.15","-1.38","",
"未含金融電子報酬指數","32,381.58","-","255.46","-0.78","",
"小型股300報酬指數","11,389.65","-","292.12","-2.50","",
"水泥類報酬指數","358.19","-","6.05","-1.66","",
"食品類報酬指數","2,881.83","-","26.38","-0.91","",
"塑膠類報酬指數","503.76","-","0.52","-0.10","",
"紡織纖維類報酬指數","1,047.06","+","4.64","0.45","",
"電機機械類報酬指數","389.49","-","9.09","-2.28","",
"電器電纜類報酬指數","129.92","-","6.34","-4.65","",
"化學生技醫療類報酬指數","174.24","-","1.16","-0.66","",
"化學類報酬指數","208.59","-","1.94","-0.92","",
"生技醫療類報酬指數","96.36","-","0.35","-0.36","",
"玻璃陶瓷類報酬指數","97.65","+","0.61","0.63","",
"造紙類報酬指數","638.65","-","23.57","-3.56","",
"鋼鐵類報酬指數","279.76","-","4.27","-1.50","",
"橡膠類報酬指數","579.07","-","17.55","-2.94","",
"汽車類報酬指數","514.99","-","13.09","-2.48","",
"電子工業類報酬指數","1,467.01","-","42.40","-2.81","",
"半導體類報酬指數","688.20","-","20.50","-2.89","",
"電腦及週邊設備類報酬指數","284.07","-","3.30","-1.15","",
"光電類報酬指數","70.19","-","4.42","-5.92","",
"通信網路類報酬指數","257.12","-","3.39","-1.30","",
"電子零組件類報酬指數","304.15","-","8.70","-2.78","",
"電子通路類報酬指數","350.82","-","5.01","-1.41","",
"資訊服務類報酬指數","279.40","-","6.48","-2.27","",
"其他電子類報酬指數","156.25","-","4.77","-2.96","",
"建材營造類報酬指數","674.52","-","11.65","-1.70","",
"航運類報酬指數","257.75","+","11.47","4.66","",
"觀光類報酬指數","140.68","-","5.52","-3.78","",
"金融保險類報酬指數","2,383.55","+","6.31","0.27","",
"貿易百貨類報酬指數","426.76","-","5.55","-1.28","",
"油電燃氣類報酬指數","198.98","-","2.72","-1.35","",
"其他類報酬指數","572.15","-","11.03","-1.89","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","5,012.88","-","12.15","-0.24","",
"臺灣中小型公司治理報酬指數","9,383.48","-","176.81","-1.85","",
"臺灣IPO報酬指數","8,236.24","-","125.84","-1.50","",
"智慧中立報酬指數","4,666.32","-","19.83","-0.42","",
"加權指數掩護性臺指買權價外5%報酬指數","7,132.49","-","128.08","-1.76","",
"臺灣5G報酬指數","9,633.46","-","353.91","-3.54","",
"臺灣企業社會責任中小型報酬指數","8,076.13","-","67.75","-0.83","",
"特選臺灣電動車代表報酬指數","7,705.53","-","359.01","-4.45","",
"臺灣5G+通訊報酬指數","6,877.65","-","238.08","-3.35","",
"臺灣全市場報酬指數","5,890.08","-","128.15","-2.13","",
"臺灣全市場半導體報酬指數","6,180.44","-","266.71","-4.14","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"漲升股利150報酬指數","11,402.16","-","303.53","-2.59","",
"漲升股利100報酬指數","10,222.83","-","190.32","-1.83","",
"藍籌30報酬指數","10,289.57","-","181.60","-1.73","",
"工業菁英30報酬指數","11,554.52","-","323.72","-2.73","",
"電子菁英30報酬指數","10,717.55","-","177.68","-1.63","",
"低波動股利精選30報酬指數","8,028.13","-","5.64","-0.07","",
"低貝塔100報酬指數","8,929.14","-","140.58","-1.55","",
"中小型精選50報酬指數","9,103.98","-","90.71","-0.99","",
"中小型A級動能50報酬指數","18,030.31","-","324.66","-1.77","",
"特選高息低波報酬指數","9,045.07","-","109.76","-1.20","",
"臺灣永續報酬指數","10,342.34","-","200.54","-1.90","",
"特選內需高收益報酬指數","7,202.15","-","92.81","-1.27","",
"價值投資報酬指數","9,757.21","-","190.11","-1.91","",
"存股雙十等權重報酬指數","8,816.92","-","7.79","-0.09","",
"特選大蘋果報酬指數","8,980.73","-","186.53","-2.03","",
"中小型300報酬指數","9,573.72","-","181.63","-1.86","",
"特股高息20報酬指數","6,433.58","-","5.21","-0.08","",
"臺灣500報酬指數","9,647.53","-","188.78","-1.92","",
"臺灣勞工權益報酬指數","8,330.71","-","82.45","-0.98","",
"微波高息精選20報酬指數","6,632.13","+","1.24","0.02","",
"特選世代行動通訊報酬指數","6,726.56","-","242.01","-3.47","",
"智慧投資多因子30報酬指數","6,636.78","-","112.72","-1.67","",
"特選大蘋果報酬正向兩倍指數","17,613.07","-","747.17","-4.07","",
"特選大蘋果報酬反向一倍指數","6,735.53","+","134.32","2.03","",
"特選價值成長報酬指數","8,089.57","-","69.74","-0.85","",
"臺灣上櫃企業社會責任報酬指數","6,799.37","-","258.20","-3.66","",
"特選台股領航報酬指數","8,269.24","-","108.67","-1.30","",
"特選Smart多因子報酬指數","6,756.84","-","113.31","-1.65","",
"110年05月03日 大盤統計資訊"
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","581,250,761,032","11,106,497,879","4,341,718",
"2.台灣存託憑證","226,507,186","21,340,194","5,325",
"3.受益憑證","0","0","0",
"4.ETF","11,088,830,859","837,070,216","141,547",
"5.受益證券","70,332,940","3,846,050","310",
"6.變更交易股票","96,723,526","14,992,979","3,892",
"7.認購(售)權證","4,877,694,850","3,448,497,000","165,583",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"13.ETN","184,033,000","26,585,000","5,368",
"證券合計(1+6)","581,347,484,558","11,121,490,858","4,345,610",
"總計(1~13)","597,794,883,393","15,458,829,318","4,663,743",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","2,928(141)","140(21)",
"下跌(跌停)","8,664(204)","795(22)",
"持平","243","14",
"未成交","9,712","0",
"無比價","2,098","0",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",

"110年05月03日每日收盤行情(全部)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="0050","元大台灣50","7,325,314","13,729","1,015,536,773","140.40","140.40","138.10","138.25","-","2.35","138.25","1","138.30","181","0.00",
="0051","元大中型100","187,632","131","10,432,377","55.95","56.10","55.00","55.00","-","1.20","55.00","1","55.15","79","0.00",
="0052","富邦科技","1,157,890","1,160","146,626,221","128.75","128.75","126.00","126.00","-","3.55","126.00","15","126.05","55","0.00",
="0053","元大電子","25,340","30","1,723,866","69.00","69.00","67.05","67.25","-","1.35","67.05","1","67.25","17","0.00",
="0054","元大台商50","8,047","10","258,546","32.32","32.32","32.00","32.00","-","0.55","31.98","1","32.08","12","0.00",
="0055","元大MSCI金融","300,876","134","6,352,532","21.12","21.36","21.06","21.06","+","0.01","21.05","5","21.06","40","0.00",
="0056","元大高股息","15,937,856","10,465","573,999,994","36.12","36.17","35.90","35.91","-","0.21","35.91","56","35.92","47","0.00",
="0057","富邦摩台","22,032","5","2,076,527","94.45","94.45","94.05","94.05","-","1.95","93.55","10","94.00","10","0.00",
="0061","元大寶滬深","218,450","130","5,117,089","23.45","23.50","23.33","23.33","-","0.22","23.32","2","23.33","4","0.00",
="006203","元大MSCI台灣","10,698","14","702,123","65.65","65.65","65.30","65.30","-","1.90","65.40","35","65.65","35","0.00",
="006204","永豐臺灣加權","20,143","6","1,773,588","88.05","88.05","88.05","88.05","-","1.15","87.25","10","87.55","10","0.00",
="006205","富邦上証","967,635","258","36,243,928","37.78","37.78","37.33","37.35","-","0.54","37.33","31","37.35","36","0.00",
="006206","元大上證50","110,519","63","4,177,512","38.05","38.05","37.59","37.64","-","0.45","37.60","9","37.64","20","0.00",
="006207","FH滬深","152,100","17","4,612,178","30.32","30.57","30.23","30.23","-","0.45","30.23","50","30.33","1","0.00",
="006208","富邦台50","2,496,976","4,190","198,816,922","80.65","80.65","79.30","79.35","-","1.40","79.30","118","79.35","42","0.00",
="00625K","富邦上証+R","0","0","0","--","--","--","--"," ","0.00","8.74","5","8.93","2","0.00",
="00631L","元大台灣50正2","6,092,640","1,746","772,125,576","129.70","129.80","125.50","125.50","-","4.95","125.50","20","125.60","4","0.00",
="00632R","元大台灣50反1","280,369,907","10,962","1,616,240,367","5.70","5.80","5.70","5.79","+","0.10","5.79","10,826","5.80","13,825","0.00",
="00633L","富邦上証正2","3,594,422","1,170","235,836,486","66.95","67.15","65.00","65.00","-","2.35","65.00","100","65.05","618","0.00",
="00634R","富邦上証反1","791,000","65","3,109,260","3.91","3.96","3.90","3.96","+","0.07","3.95","456","3.96","113","0.00",
="00635U","期元大S&P黃金","808,686","241","19,268,109","23.80","23.88","23.80","23.84","-","0.16","23.83","279","23.84","6","0.00",
="00636","國泰中國A50","1,174,854","388","31,662,416","27.30","27.30","26.82","26.82","-","0.49","26.82","1","26.84","144","0.00",
="00636K","國泰中國A50+U","200","2","1,920","9.60","9.60","9.60","9.60","-","0.15","9.56","12","9.64","12","0.00",
="00637L","元大滬深300正2","34,693,568","6,440","901,018,351","26.50","26.53","25.70","25.70","-","0.93","25.70","474","25.71","4","0.00",
="00638R","元大滬深300反1","602,000","133","4,757,950","7.84","7.96","7.83","7.95","+","0.17","7.95","169","7.96","30","0.00",
="00639","富邦深100","1,697,185","250","28,468,678","16.89","16.92","16.70","16.70","-","0.20","16.70","64","16.73","1","0.00",
="00640L","富邦日本正2","114,000","42","3,116,370","27.60","27.60","27.25","27.27","-","0.43","27.25","1","27.27","1","0.00",
="00641R","富邦日本反1","73,000","36","801,210","10.91","11.05","10.91","11.05","+","0.24","11.01","9","11.05","6","0.00",
="00642U","期元大S&P石油","20,533,308","2,203","221,939,448","10.86","10.87","10.75","10.76","-","0.11","10.76","129","10.77","252","0.00",
="00643","群益深証中小","681,444","195","11,963,219","17.68","17.72","17.50","17.50","-","0.15","17.50","38","17.51","11","0.00",
="00643K","群益深証中小+R","0","0","0","--","--","--","--"," ","0.00","4.15","2","4.22","1","0.00",
="00645","富邦日本","33,753","35","831,317","24.90","24.90","24.56","24.57","-","0.34","24.56","1","24.95","2","0.00",
="00646","元大S&P500","510,737","259","18,335,149","35.85","36.00","35.85","35.89","-","0.02","35.88","5","35.89","2","0.00",
="00647L","元大S&P500正2","48,000","36","2,988,050","62.40","62.40","62.15","62.20","-","0.35","62.20","1","62.25","24","0.00",
="00648R","元大S&P500反1","3,425,000","108","25,291,880","7.37","7.40","7.37","7.40","+","0.03","7.39","407","7.40","1,282","0.00",
="00650L","FH香港正2","1,440,100","333","42,181,365","30.46","30.46","29.07","29.15","-","1.95","29.14","1","29.15","7","0.00",
="00651R","FH香港反1","632,000","102","4,435,590","6.95","7.04","6.90","7.04","+","0.24","7.02","5","7.04","173","0.00",
="00652","富邦印度","321,374","218","7,795,193","24.56","24.56","24.10","24.28","-","0.47","24.28","4","24.29","2","0.00",
="00653L","富邦印度正2","2,575,251","778","85,481,798","33.55","33.58","32.69","33.35","-","1.38","33.34","8","33.35","9","0.00",
="00654R","富邦印度反1","2,999,030","872","31,423,358","10.05","10.70","10.05","10.55","+","0.83","10.55","16","10.56","22","0.00",
="00655L","國泰中國A50正2","2,330,639","853","115,123,024","50.25","50.50","48.85","48.85","-","2.10","48.83","203","48.85","18","0.00",
