"107年07月11日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","12,304.40","-","89.62","-0.72","",
"發行量加權股價指數","10,676.84","-","80.05","-0.74","",
"臺灣公司治理100指數","5,907.68","-","35.96","-0.61","",
"臺灣50指數","7,962.82","-","69.67","-0.87","",
"臺灣中型100指數","7,969.72","-","74.99","-0.93","",
"臺灣資訊科技指數","9,769.24","-","95.97","-0.97","",
"臺灣發達指數","9,009.23","-","86.50","-0.95","",
"臺灣高股息指數","5,879.16","-","45.95","-0.78","",
"臺灣就業99指數","6,306.82","-","58.71","-0.92","",
"臺灣高薪100指數","5,886.29","-","26.10","-0.44","",
"臺灣低波動高股息指數","1,614.74","-","11.34","-0.70","",
"未含金融保險股指數","9,024.06","-","71.62","-0.79","",
"未含電子股指數","14,769.81","-","79.35","-0.53","",
"未含金融電子股指數","12,611.33","-","71.51","-0.56","",
"小型股300指數","6,482.10","-","26.32","-0.40","",
"水泥窯製類指數","520.52","-","9.83","-1.85","",
"塑膠化工類指數","953.10","-","9.71","-1.01","",
"機電類指數","2,460.61","-","22.89","-0.92","",
"水泥類指數","136.77","-","2.72","-1.95","",
"食品類指數","1,838.85","+","4.64","0.25","",
"塑膠類指數","304.41","-","4.42","-1.43","",
"紡織纖維類指數","526.02","-","5.78","-1.09","",
"電機機械類指數","186.77","-","1.93","-1.02","",
"電器電纜類指數","55.19","-","0.18","-0.33","",
"化學生技醫療類指數","104.46","+","0.30","0.29","",
"化學類指數","109.28","-","0.17","-0.16","",
"生技醫療類指數","69.27","+","0.60","0.87","",
"玻璃陶瓷類指數","42.44","-","0.54","-1.26","",
"造紙類指數","211.03","-","0.16","-0.08","",
"鋼鐵類指數","104.21","+","0.06","0.06","",
"橡膠類指數","262.31","-","0.82","-0.31","",
"汽車類指數","217.33","-","1.05","-0.48","",
"電子類指數","436.76","-","4.06","-0.92","",
"半導體類指數","159.04","-","1.42","-0.88","",
"電腦及週邊設備類指數","93.39","-","0.91","-0.97","",
"光電類指數","44.02","-","0.42","-0.95","",
"通信網路類指數","124.21","-","1.47","-1.17","",
"電子零組件類指數","116.42","-","2.95","-2.47","",
"電子通路類指數","123.77","-","1.41","-1.13","",
"資訊服務類指數","92.21","+","0.01","0.01","",
"其他電子類指數","90.42","+","0.55","0.61","",
