"107年02月22日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","12,271.65","-","49.65","-0.40","",
"發行量加權股價指數","10,662.38","-","52.06","-0.49","",
"臺灣公司治理100指數","6,058.38","-","50.61","-0.83","",
"臺灣50指數","8,070.27","-","71.06","-0.87","",
"臺灣中型100指數","7,680.38","+","25.74","0.34","",
"臺灣資訊科技指數","10,490.09","-","103.43","-0.98","",
"臺灣發達指數","8,492.84","-","64.11","-0.75","",
"臺灣高股息指數","5,969.45","-","50.75","-0.84","",
"臺灣就業99指數","6,360.70","-","6.07","-0.10","",
"臺灣高薪100指數","5,913.54","-","33.27","-0.56","",
"臺灣低波動高股息指數","1,534.73","-","5.13","-0.33","",
"未含金融保險股指數","9,027.35","-","55.59","-0.61","",
"未含電子股指數","14,473.17","-","48.84","-0.34","",
"未含金融電子股指數","12,315.59","-","76.88","-0.62","",
"小型股300指數","6,296.69","+","31.29","0.50","",
"水泥窯製類指數","464.35","-","6.42","-1.36","",
"塑膠化工類指數","917.12","-","8.63","-0.93","",
"機電類指數","2,501.39","-","14.00","-0.56","",
"水泥類指數","117.64","-","1.35","-1.13","",
"食品類指數","1,634.95","-","37.33","-2.23","",
"塑膠類指數","290.34","-","4.44","-1.51","",
"紡織纖維類指數","481.77","+","0.98","0.20","",
"電機機械類指數","201.70","+","0.92","0.46","",
"電器電纜類指數","49.33","+","0.69","1.42","",
"化學生技醫療類指數","98.26","+","0.94","0.97","",
"化學類指數","106.68","+","0.79","0.75","",
"生技醫療類指數","61.93","+","0.79","1.29","",
"玻璃陶瓷類指數","45.68","-","1.14","-2.43","",
"造紙類指數","234.96","+","0.46","0.20","",
"鋼鐵類指數","105.51","-","0.33","-0.31","",
"橡膠類指數","280.54","-","0.51","-0.18","",
"汽車類指數","240.53","-","2.80","-1.15","",
"電子類指數","443.33","-","2.71","-0.61","",
"半導體類指數","169.15","-","1.66","-0.97","",
"電腦及週邊設備類指數","99.69","-","0.07","-0.07","",
"光電類指數","40.85","-","0.38","-0.92","",
"通信網路類指數","124.75","-","0.96","-0.76","",
"電子零組件類指數","91.90","+","0.32","0.35","",
"電子通路類指數","116.63","+","0.28","0.24","",
"資訊服務類指數","89.18","+","0.04","0.04","",
"其他電子類指數","96.38","+","0.03","0.03","",
"建材營造類指數","259.61","+","0.12","0.05","",
"航運類指數","64.98","+","0.29","0.45","",
"觀光類指數","132.64","+","0.47","0.36","",
"金融保險類指數","1,214.62","+","4.32","0.36","",
"貿易百貨類指數","239.74","+","1.57","0.66","",
"油電燃氣類指數","142.96","-","2.97","-2.04","",
"其他類指數","247.31","+","0.66","0.27","",
"臺指日報酬兩倍指數","16,391.21","-","160.85","-0.97","",
"臺指日報酬反向一倍指數","7,389.18","+","35.73","0.49","",
"電子類兩倍槓桿指數","13,214.87","-","162.55","-1.22","",
"電子類反向指數","7,914.88","+","47.80","0.61","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","5,059.18","+","54.28","1.08","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
