"107年04月11日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"漲升股利100報酬指數","6,642.23","+","20.61","0.31","",
"藍籌 30 報酬指數","6,135.55","+","24.11","0.39","",
"工業菁英 30 報酬指數","6,566.00","+","45.16","0.69","",
"電子菁英 30 報酬指數","6,335.29","+","20.64","0.33","",
"低波動精選 30 報酬指數","6,111.29","+","15.09","0.25","",
"低貝塔 100 報酬指數","5,816.35","+","3.65","0.06","",
"中小型精選50報酬指數","5,952.74","+","8.04","0.14","",
"中小型A級動能50報酬指數","6,601.90","+","92.74","1.42","",
"特選高息低波報酬指數","5,447.76","+","16.30","0.30","",
"特選內需高收益報酬指數","5,375.43","+","7.75","0.14","",
"特股高息20報酬指數","--","","--","--","",
"台灣500報酬指數","--","","--","--","",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",
"特殊處理註記說明如下：<br>(1)A:指數公司重新計算指數收盤點數。<br>(2)B:依據編製規則，採商品(指數)非收盤價(點數)計算指數收盤點數。<br>(3)空白:無特殊處理。<br>(4)有關A、B兩種特殊處理註記，其原因及說明請至<a href= 'https://www.taiwanindex.com.tw/' target='_blank'>臺灣指數公司網站</a>查閱相關指數編製規則。",

