"107年04月11日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","12,658.08","+","55.79","0.44","",
"發行量加權股價指數","10,974.02","+","46.84","0.43","",
"臺灣公司治理100指數","6,238.29","+","31.95","0.51","",
"臺灣50指數","8,255.72","+","38.67","0.47","",
"臺灣中型100指數","8,070.11","+","34.51","0.43","",
"臺灣資訊科技指數","10,848.37","+","95.64","0.89","",
"臺灣發達指數","8,702.50","-","2.94","-0.03","",
"臺灣高股息指數","6,102.89","+","25.97","0.43","",
"臺灣就業99指數","6,531.82","+","18.30","0.28","",
"臺灣高薪100指數","6,046.42","+","23.41","0.39","",
"臺灣低波動高股息指數","1,610.63","+","3.67","0.23","",
"未含金融保險股指數","9,312.88","+","40.62","0.44","",
"未含電子股指數","14,965.57","+","60.48","0.41","",
"未含金融電子股指數","12,839.75","+","53.98","0.42","",
"小型股300指數","6,532.19","+","25.93","0.40","",
"水泥窯製類指數","486.77","+","4.90","1.02","",
"塑膠化工類指數","960.05","+","0.10","0.01","",
"機電類指數","2,571.58","+","11.75","0.46","",
"水泥類指數","122.21","+","0.32","0.26","",
"食品類指數","1,706.01","-","0.87","-0.05","",
"塑膠類指數","303.25","-","0.73","-0.24","",
"紡織纖維類指數","515.72","+","3.04","0.59","",
"電機機械類指數","217.38","+","1.27","0.59","",
"電器電纜類指數","57.24","+","0.78","1.38","",
"化學生技醫療類指數","108.13","+","0.84","0.78","",
"化學類指數","111.59","+","0.72","0.65","",
"生技醫療類指數","72.97","+","0.69","0.95","",
"玻璃陶瓷類指數","49.87","+","2.12","4.44","",
"造紙類指數","247.25","-","1.22","-0.49","",
"鋼鐵類指數","106.68","+","0.06","0.06","",
"橡膠類指數","272.08","+","0.91","0.34","",
"汽車類指數","236.00","+","2.78","1.19","",
"電子類指數","454.56","+","2.03","0.45","",
"半導體類指數","176.98","+","1.42","0.81","",
"電腦及週邊設備類指數","99.28","+","0.54","0.55","",
"光電類指數","37.47","-","0.04","-0.11","",
"通信網路類指數","128.55","-","0.23","-0.18","",
"電子零組件類指數","96.58","-","0.30","-0.31","",
"電子通路類指數","125.89","+","1.15","0.92","",
"資訊服務類指數","92.33","+","0.42","0.46","",
"其他電子類指數","96.65","+","0.18","0.19","",
"建材營造類指數","269.47","-","0.18","-0.07","",
"航運類指數","65.00","+","0.24","0.37","",
"觀光類指數","129.20","+","0.06","0.05","",
"金融保險類指數","1,230.80","+","4.48","0.37","",
"貿易百貨類指數","255.83","-","0.48","-0.19","",
"油電燃氣類指數","151.07","+","2.45","1.65","",
"其他類指數","253.23","+","1.75","0.70","",
"臺指日報酬兩倍指數","17,336.75","+","147.37","0.86","",
"臺指日報酬反向一倍指數","7,168.28","-","30.86","-0.43","",
"電子類兩倍槓桿指數","13,859.19","+","123.24","0.90","",
"電子類反向指數","7,700.55","-","34.70","-0.45","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","5,759.88","+","63.47","1.11","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣永續指數","5,332.43","+","29.15","0.55","",
"漲升股利150指數","6,166.17","+","14.85","0.24","",
"漲升股利100指數","6,176.12","+","19.17","0.31","",
"藍籌30指數","5,890.97","+","23.16","0.39","",
"工業菁英30指數","6,297.18","+","43.31","0.69","",
"電子菁英30指數","6,097.34","+","19.87","0.33","",
"低波動精選30指數","5,837.85","+","14.41","0.25","",
"低貝塔100指數","5,564.31","+","3.49","0.06","",
"中小型精選50指數","5,673.15","+","7.67","0.14","",
"中小型A級動能50指數","6,399.93","+","89.90","1.42","",
"特選高息低波指數","5,214.72","+","15.60","0.30","",
"特選內需高收益指數","5,375.43","+","7.75","0.14","",
"藍籌30反向一倍指數","8,369.08","-","33.16","-0.39","",
"工業菁英30反向一倍指數","9,176.96","-","64.00","-0.69","",
"金融類日報酬兩倍指數","18,744.03","+","135.96","0.73","",
"金融類日報酬反向一倍指數","6,938.68","-","25.44","-0.37","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","14,635.72","+","64.51","0.44","",
"發行量加權股價報酬指數","18,802.14","+","80.26","0.43","",
"臺灣公司治理100報酬指數","7,041.00","+","36.07","0.51","",
"臺灣50報酬指數","14,300.93","+","66.99","0.47","",
"臺灣中型100報酬指數","12,955.07","+","55.40","0.43","",
"臺灣資訊科技報酬指數","17,822.85","+","157.13","0.89","",
"臺灣發達報酬指數","13,574.91","-","4.60","-0.03","",
"臺灣高股息報酬指數","12,029.59","+","51.18","0.43","",
"臺灣就業99報酬指數","8,325.58","+","23.31","0.28","",
"臺灣高薪100報酬指數","6,929.32","+","26.84","0.39","",
"臺灣低波動高股息報酬指數","3,646.24","+","8.31","0.23","",
"未含金融電子股報酬指數","22,114.94","+","92.96","0.42","",
"小型股300報酬指數","7,108.59","+","28.22","0.40","",
"水泥類報酬指數","185.23","+","0.49","0.27","",
"食品類報酬指數","2,166.89","-","1.11","-0.05","",
"塑膠類報酬指數","427.70","-","1.03","-0.24","",
"紡織纖維類報酬指數","697.99","+","4.11","0.59","",
"電機機械類報酬指數","288.17","+","1.69","0.59","",
"電器電纜類報酬指數","69.93","+","0.95","1.38","",
"化學生技醫療類報酬指數","145.30","+","1.13","0.78","",
"化學類報酬指數","155.85","+","1.00","0.65","",
"生技醫療類報酬指數","91.57","+","0.86","0.95","",
"玻璃陶瓷類報酬指數","54.07","+","2.30","4.44","",
"造紙類報酬指數","315.98","-","1.56","-0.49","",
"鋼鐵類報酬指數","146.57","+","0.08","0.05","",
"橡膠類報酬指數","369.86","+","1.24","0.34","",
"汽車類報酬指數","313.57","+","3.70","1.19","",
"電子類報酬指數","714.07","+","3.18","0.45","",
"半導體類報酬指數","265.17","+","2.13","0.81","",
"電腦及週邊設備類報酬指數","166.54","+","0.91","0.55","",
"光電類報酬指數","47.52","-","0.06","-0.13","",
"通信網路類報酬指數","223.96","-","0.39","-0.17","",
"電子零組件類報酬指數","150.23","-","0.47","-0.31","",
"電子通路類報酬指數","221.48","+","2.04","0.93","",
"資訊服務類報酬指數","165.63","+","0.75","0.45","",
"其他電子類報酬指數","126.70","+","0.25","0.20","",
"建材營造類報酬指數","418.40","-","0.28","-0.07","",
"航運類報酬指數","82.42","+","0.31","0.38","",
"觀光類報酬指數","154.40","+","0.07","0.05","",
"金融保險類報酬指數","1,732.61","+","6.30","0.36","",
"貿易百貨類報酬指數","330.37","-","0.61","-0.18","",
"油電燃氣類報酬指數","200.21","+","3.24","1.64","",
"其他類報酬指數","360.61","+","2.49","0.70","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","5,834.65","+","64.30","1.11","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣永續報酬指數","5,543.87","+","30.31","0.55","",
"漲升股利150報酬指數","6,641.77","+","16.00","0.24","",
