"107年10月22日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","11,331.94","+","68.61","0.61","",
"發行量加權股價指數","9,974.28","+","55.02","0.55","",
"臺灣公司治理100指數","5,773.38","+","26.32","0.46","",
"臺灣50指數","7,677.91","+","24.61","0.32","",
"臺灣中型100指數","6,986.42","+","37.55","0.54","",
"臺灣資訊科技指數","9,725.08","+","27.22","0.28","",
"臺灣發達指數","7,971.38","+","46.48","0.59","",
"臺灣高股息指數","5,639.75","-","3.26","-0.06","",
"臺灣就業99指數","5,972.72","+","16.98","0.29","",
"臺灣高薪100指數","5,601.79","+","19.29","0.35","",
"臺灣低波動高股息指數","1,544.68","+","4.16","0.27","",
"未含金融保險股指數","8,340.20","+","53.14","0.64","",
"未含電子股指數","14,289.01","+","68.08","0.48","",
"未含金融電子股指數","12,038.28","+","78.58","0.66","",
"小型股300指數","5,643.93","+","46.20","0.83","",
"水泥窯製類指數","507.30","+","2.96","0.59","",
"塑膠化工類指數","901.46","+","2.14","0.24","",
"機電類指數","2,222.43","+","14.12","0.64","",
"水泥類指數","136.00","+","0.75","0.55","",
"食品類指數","1,649.72","-","8.44","-0.51","",
"塑膠類指數","289.23","+","1.11","0.39","",
"紡織纖維類指數","532.35","+","4.87","0.92","",
"電機機械類指數","159.17","+","1.18","0.75","",
"電器電纜類指數","46.10","+","0.60","1.32","",
"化學生技醫療類指數","97.23","-","0.15","-0.15","",
"化學類指數","103.64","+","0.10","0.10","",
"生技醫療類指數","62.89","-","0.31","-0.49","",
"玻璃陶瓷類指數","36.40","+","0.30","0.83","",
"造紙類指數","195.79","+","2.30","1.19","",
"鋼鐵類指數","107.88","-","0.05","-0.05","",
"橡膠類指數","247.28","-","0.22","-0.09","",
"汽車類指數","180.80","+","2.32","1.30","",
"電子類指數","395.52","+","2.47","0.63","",
"半導體類指數","156.45","+","0.61","0.39","",
"電腦及週邊設備類指數","82.26","+","0.19","0.23","",
"光電類指數","33.52","+","0.64","1.95","",
"通信網路類指數","117.28","+","0.64","0.55","",
"電子零組件類指數","84.24","+","1.20","1.45","",
"電子通路類指數","105.15","-","0.15","-0.14","",
"資訊服務類指數","87.18","+","0.64","0.74","",
"其他電子類指數","77.66","+","0.78","1.01","",
"建材營造類指數","254.61","-","0.84","-0.33","",
"航運類指數","62.82","+","0.42","0.67","",
"觀光類指數","103.25","+","0.52","0.51","",
"金融保險類指數","1,228.11","+","0.79","0.06","",
"貿易百貨類指數","259.07","+","0.51","0.20","",
"油電燃氣類指數","154.96","+","4.23","2.81","",
"其他類指數","225.10","+","1.70","0.76","",
"臺指日報酬兩倍指數","14,141.90","+","155.16","1.11","",
"臺指日報酬反向一倍指數","7,792.16","-","43.46","-0.55","",
"電子類兩倍槓桿指數","10,295.94","+","127.80","1.26","",
"電子類反向指數","8,690.28","-","54.96","-0.63","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,830.25","+","35.31","0.74","",
"臺灣中小型公司治理指數","4,611.38","+","31.76","0.69","",
"臺灣IPO指數","4,525.21","+","54.00","1.21","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣永續指數","4,955.30","+","14.97","0.30","",
"漲升股利150指數","5,694.93","+","35.41","0.63","",
"漲升股利100指數","5,736.51","+","42.17","0.74","",
"藍籌30指數","5,307.37","+","29.01","0.55","",
"工業菁英30指數","5,647.22","+","26.05","0.46","",
"電子菁英30指數","5,216.54","+","36.70","0.71","",
"低波動精選30指數","5,681.36","+","6.02","0.11","",
"低貝塔100指數","5,180.14","+","3.77","0.07","",
"中小型精選50指數","4,983.51","+","51.03","1.03","",
"中小型A級動能50指數","5,339.57","+","13.59","0.26","",
"特選高息低波指數","4,682.65","+","10.96","0.23","",
"特選內需高收益指數","5,146.85","+","12.89","0.25","",
"價值投資指數","5,094.75","+","39.98","0.79","",
"藍籌30反向一倍指數","9,148.22","-","50.56","-0.55","",
"工業菁英30反向一倍指數","10,034.46","-","46.72","-0.46","",
"金融類日報酬兩倍指數","18,529.08","+","23.82","0.13","",
"金融類日報酬反向一倍指數","6,905.91","-","4.45","-0.06","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","13,629.54","+","82.52","0.61","",
"發行量加權股價報酬指數","17,793.76","+","98.17","0.55","",
"臺灣公司治理100報酬指數","6,803.30","+","31.02","0.46","",
"臺灣50報酬指數","13,847.84","+","44.38","0.32","",
"臺灣中型100報酬指數","11,668.73","+","62.71","0.54","",
"臺灣資訊科技報酬指數","16,628.01","+","46.56","0.28","",
"臺灣發達報酬指數","12,931.82","+","75.40","0.59","",
"臺灣高股息報酬指數","11,803.02","-","6.83","-0.06","",
"臺灣就業99報酬指數","7,929.08","+","22.54","0.29","",
"臺灣高薪100報酬指數","6,707.41","+","23.10","0.35","",
"臺灣低波動高股息報酬指數","3,667.06","+","9.88","0.27","",
"未含金融電子股報酬指數","21,706.24","+","141.67","0.66","",
"小型股300報酬指數","6,386.28","+","52.28","0.83","",
"水泥類報酬指數","212.57","+","1.17","0.55","",
"食品類報酬指數","2,222.37","-","11.37","-0.51","",
"塑膠類報酬指數","430.73","+","1.64","0.38","",
"紡織纖維類報酬指數","747.90","+","6.85","0.92","",
"電機機械類報酬指數","216.76","+","1.60","0.74","",
"電器電纜類報酬指數","58.67","+","0.76","1.31","",
"化學生技醫療類報酬指數","134.90","-","0.21","-0.16","",
"化學類報酬指數","150.43","+","0.16","0.11","",
"生技醫療類報酬指數","80.80","-","0.40","-0.49","",
"玻璃陶瓷類報酬指數","40.62","+","0.33","0.82","",
"造紙類報酬指數","262.44","+","3.08","1.19","",
"鋼鐵類報酬指數","153.84","-","0.08","-0.05","",
"橡膠類報酬指數","348.75","-","0.31","-0.09","",
"汽車類報酬指數","253.38","+","3.24","1.30","",
"電子類報酬指數","644.49","+","4.04","0.63","",
"半導體類報酬指數","242.85","+","0.96","0.40","",
"電腦及週邊設備類報酬指數","145.38","+","0.33","0.23","",
"光電類報酬指數","43.97","+","0.84","1.95","",
"通信網路類報酬指數","213.11","+","1.16","0.55","",
