"107年11月22日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","11,076.04","-","34.49","-0.31","",
"發行量加權股價指數","9,714.71","-","26.81","-0.28","",
"臺灣公司治理100指數","5,551.11","-","5.73","-0.10","",
"臺灣50指數","7,302.37","-","28.91","-0.39","",
"臺灣中型100指數","6,951.42","-","46.49","-0.66","",
"臺灣資訊科技指數","9,157.54","-","8.74","-0.10","",
"臺灣發達指數","7,608.30","-","67.11","-0.87","",
"臺灣高股息指數","5,599.70","-","45.08","-0.80","",
"臺灣就業99指數","5,936.82","-","24.72","-0.41","",
"臺灣高薪100指數","5,485.80","-","8.62","-0.16","",
"臺灣低波動高股息指數","1,539.41","-","5.50","-0.36","",
"未含金融保險股指數","8,078.58","-","23.59","-0.29","",
"未含電子股指數","14,129.76","-","14.32","-0.10","",
"未含金融電子股指數","11,823.55","-","7.52","-0.06","",
"小型股300指數","5,683.16","-","27.46","-0.48","",
"水泥窯製類指數","474.15","-","7.14","-1.48","",
"塑膠化工類指數","871.34","+","2.10","0.24","",
"機電類指數","2,139.14","-","10.29","-0.48","",
"水泥類指數","125.89","-","2.27","-1.77","",
"食品類指數","1,659.67","-","12.14","-0.73","",
"塑膠類指數","281.97","+","0.92","0.33","",
"紡織纖維類指數","519.94","-","4.18","-0.80","",
"電機機械類指數","164.94","-","1.59","-0.95","",
"電器電纜類指數","47.01","-","0.62","-1.30","",
"化學生技醫療類指數","90.13","+","0.07","0.08","",
"化學類指數","101.12","-","0.42","-0.41","",
"生技醫療類指數","54.16","+","0.44","0.82","",
"玻璃陶瓷類指數","36.29","+","0.15","0.42","",
"造紙類指數","192.31","+","0.49","0.26","",
"鋼鐵類指數","105.13","-","0.37","-0.35","",
"橡膠類指數","242.39","-","0.18","-0.07","",
"汽車類指數","185.86","-","0.72","-0.39","",
"電子類指數","379.41","-","1.73","-0.45","",
"半導體類指數","146.77","-","0.12","-0.08","",
"電腦及週邊設備類指數","80.96","-","0.35","-0.43","",
"光電類指數","32.94","-","0.45","-1.35","",
"通信網路類指數","119.16","+","0.15","0.13","",
"電子零組件類指數","83.15","-","1.88","-2.21","",
"電子通路類指數","104.81","-","0.12","-0.11","",
"資訊服務類指數","87.17","-","0.20","-0.23","",
"其他電子類指數","69.93","-","1.03","-1.45","",
"建材營造類指數","257.33","-","1.13","-0.44","",
"航運類指數","62.66","-","0.63","-1.00","",
"觀光類指數","100.31","-","0.47","-0.47","",
"金融保險類指數","1,233.64","-","2.32","-0.19","",
"貿易百貨類指數","251.19","-","0.82","-0.33","",
"油電燃氣類指數","145.40","+","3.56","2.51","",
"其他類指數","233.92","-","1.98","-0.84","",
"臺指日報酬兩倍指數","13,384.12","-","74.08","-0.55","",
"臺指日報酬反向一倍指數","7,981.75","+","21.91","0.28","",
"電子類兩倍槓桿指數","9,434.90","-","86.43","-0.91","",
"電子類反向指數","9,021.56","+","40.76","0.45","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,534.40","+","20.18","0.45","",
"臺灣中小型公司治理指數","4,558.23","-","23.22","-0.51","",
"臺灣IPO指數","4,513.78","-","45.08","-0.99","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣永續指數","4,734.95","-","20.26","-0.43","",
"漲升股利150指數","5,561.65","-","18.76","-0.34","",
"漲升股利100指數","5,573.04","-","21.54","-0.39","",
"藍籌30指數","5,130.23","-","22.80","-0.44","",
"工業菁英30指數","5,347.36","-","25.78","-0.48","",
"電子菁英30指數","5,005.99","-","43.77","-0.87","",
"低波動精選30指數","5,733.11","-","15.21","-0.26","",
"低貝塔100指數","5,225.23","-","5.17","-0.10","",
"中小型精選50指數","5,020.88","-","42.09","-0.83","",
"中小型A級動能50指數","5,236.86","-","59.78","-1.13","",
"特選高息低波指數","4,694.66","-","11.50","-0.24","",
"特選內需高收益指數","5,132.34","-","25.69","-0.50","",
"價值投資指數","4,991.42","-","17.02","-0.34","",
"藍籌30反向一倍指數","9,436.79","+","41.57","0.44","",
"工業菁英30反向一倍指數","10,554.27","+","50.40","0.48","",
"金融類日報酬兩倍指數","18,666.60","-","70.34","-0.38","",
"金融類日報酬反向一倍指數","6,863.99","+","12.86","0.19","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","13,322.34","-","41.48","-0.31","",
"發行量加權股價報酬指數","17,331.40","-","47.83","-0.28","",
"臺灣公司治理100報酬指數","6,541.38","-","6.75","-0.10","",
"臺灣50報酬指數","13,170.52","-","52.13","-0.39","",
"臺灣中型100報酬指數","11,610.28","-","77.64","-0.66","",
"臺灣資訊科技報酬指數","15,657.62","-","14.95","-0.10","",
"臺灣發達報酬指數","12,342.81","-","108.87","-0.87","",
"臺灣高股息報酬指數","11,719.20","-","94.36","-0.80","",
"臺灣就業99報酬指數","7,881.42","-","32.82","-0.41","",
"臺灣高薪100報酬指數","6,568.52","-","10.33","-0.16","",
"臺灣低波動高股息報酬指數","3,654.54","-","13.05","-0.36","",
"未含金融電子股報酬指數","21,321.59","-","13.54","-0.06","",
"小型股300報酬指數","6,432.40","-","31.08","-0.48","",
"水泥類報酬指數","196.77","-","3.55","-1.77","",
"食品類報酬指數","2,235.78","-","16.35","-0.73","",
"塑膠類報酬指數","419.92","+","1.36","0.32","",
"紡織纖維類報酬指數","730.46","-","5.88","-0.80","",
"電機機械類報酬指數","224.83","-","2.17","-0.96","",
"電器電纜類報酬指數","59.84","-","0.79","-1.30","",
"化學生技醫療類報酬指數","125.19","+","0.09","0.07","",
"化學類報酬指數","147.04","-","0.62","-0.42","",
"生技醫療類報酬指數","69.59","+","0.57","0.83","",
"玻璃陶瓷類報酬指數","40.50","+","0.16","0.40","",
"造紙類報酬指數","257.77","+","0.66","0.26","",
"鋼鐵類報酬指數","149.92","-","0.53","-0.35","",
"橡膠類報酬指數","341.86","-","0.26","-0.08","",
"汽車類報酬指數","260.47","-","1.02","-0.39","",
"電子類報酬指數","618.24","-","2.80","-0.45","",
"半導體類報酬指數","227.82","-","0.19","-0.08","",
"電腦及週邊設備類報酬指數","143.08","-","0.63","-0.44","",
"光電類報酬指數","43.21","-","0.60","-1.37","",
"通信網路類報酬指數","216.53","+","0.27","0.12","",
"電子零組件類報酬指數","133.47","-","3.02","-2.21","",
"電子通路類報酬指數","195.33","-","0.23","-0.12","",
"資訊服務類報酬指數","164.69","-","0.38","-0.23","",
"其他電子類報酬指數","94.34","-","1.39","-1.45","",
"建材營造類報酬指數","420.87","-","1.84","-0.44","",
"航運類報酬指數","81.86","-","0.83","-1.00","",
"觀光類報酬指數","123.57","-","0.58","-0.47","",
"金融保險類報酬指數","1,811.80","-","3.40","-0.19","",
"貿易百貨類報酬指數","345.90","-","1.13","-0.33","",
"油電燃氣類報酬指數","203.04","+","4.97","2.51","",
"其他類報酬指數","347.65","-","2.94","-0.84","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","4,670.30","+","20.78","0.45","",
"臺灣中小型公司治理報酬指數","4,987.97","-","25.41","-0.51","",
"臺灣IPO報酬指數","4,624.30","-","46.18","-0.99","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣永續報酬指數","5,130.33","-","21.96","-0.43","",
"漲升股利150報酬指數","6,281.05","-","21.19","-0.34","",
"漲升股利100報酬指數","6,295.91","-","24.34","-0.39","",
"藍籌 30 報酬指數","5,566.03","-","24.73","-0.44","",
"工業菁英 30 報酬指數","5,808.35","-","28.00","-0.48","",
"電子菁英 30 報酬指數","5,389.45","-","47.13","-0.87","",
"低波動精選 30 報酬指數","6,271.29","-","16.64","-0.26","",
"低貝塔 100 報酬指數","5,710.13","-","5.65","-0.10","",
"中小型精選50報酬指數","5,527.26","-","46.33","-0.83","",
"中小型A級動能50報酬指數","5,517.71","-","62.98","-1.13","",
"特選高息低波報酬指數","5,170.60","-","12.67","-0.24","",
"特選內需高收益報酬指數","5,438.48","-","27.22","-0.50","",
"價值投資報酬指數","5,280.28","-","18.00","-0.34","",
"特股高息20報酬指數","--","","--","--","",
"台灣500報酬指數","--","","--","--","",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",
"特殊處理註記說明如下：<br>(1)A:指數公司重新計算指數收盤點數。<br>(2)B:依據編製規則，採商品(指數)非收盤價(點數)計算指數收盤點數。<br>(3)空白:無特殊處理。<br>(4)有關A、B兩種特殊處理註記，其原因及說明請至<a href= 'https://www.taiwanindex.com.tw/' target='_blank'>臺灣指數公司網站</a>查閱相關指數編製規則。",

