"107年08月22日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","12,376.72","+","8.16","0.07","",
"發行量加權股價指數","10,804.20","+","12.00","0.11","",
"臺灣公司治理100指數","6,104.98","+","20.81","0.34","",
"臺灣50指數","8,198.71","+","14.48","0.18","",
"臺灣中型100指數","7,953.71","-","13.59","-0.17","",
"臺灣資訊科技指數","10,335.55","+","15.39","0.15","",
"臺灣發達指數","8,891.40","-","0.74","-0.01","",
"臺灣高股息指數","6,079.89","-","4.99","-0.08","",
"臺灣就業99指數","6,443.68","+","17.53","0.27","",
"臺灣高薪100指數","5,998.47","+","12.97","0.22","",
"臺灣低波動高股息指數","1,652.82","+","3.04","0.18","",
"未含金融保險股指數","9,102.88","+","6.63","0.07","",
"未含電子股指數","15,119.73","+","50.85","0.34","",
"未含金融電子股指數","12,863.38","+","42.27","0.33","",
"小型股300指數","6,334.38","+","6.23","0.10","",
"水泥窯製類指數","593.04","-","0.48","-0.08","",
"塑膠化工類指數","974.45","+","4.88","0.50","",
"機電類指數","2,460.53","-","2.64","-0.11","",
"水泥類指數","159.18"," ","--","--","",
"食品類指數","1,756.69","+","0.02","--","",
"塑膠類指數","312.90","+","2.55","0.82","",
"紡織纖維類指數","571.72","+","6.71","1.19","",
"電機機械類指數","178.22","-","1.24","-0.69","",
"電器電纜類指數","53.23","-","0.19","-0.36","",
"化學生技醫療類指數","104.56","+","0.05","0.05","",
"化學類指數","111.41","+","0.20","0.18","",
"生技醫療類指數","67.67","-","0.09","-0.13","",
"玻璃陶瓷類指數","42.15","-","0.29","-0.68","",
"造紙類指數","214.26","+","3.17","1.50","",
"鋼鐵類指數","110.57","+","0.99","0.90","",
"橡膠類指數","268.40","-","2.71","-1.00","",
"汽車類指數","210.43","-","0.87","-0.41","",
"電子類指數","437.60","-","0.37","-0.08","",
"半導體類指數","167.25","+","0.50","0.30","",
