"107年05月11日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","12,511.03","+","104.28","0.84","",
"發行量加權股價指數","10,858.98","+","98.77","0.92","",
"臺灣公司治理100指數","6,119.44","+","72.53","1.20","",
"臺灣50指數","8,139.75","+","100.27","1.25","",
"臺灣中型100指數","8,053.59","+","10.66","0.13","",
"臺灣資訊科技指數","10,282.40","+","93.12","0.91","",
"臺灣發達指數","8,869.88","+","94.91","1.08","",
"臺灣高股息指數","6,005.74","+","22.48","0.38","",
"臺灣就業99指數","6,499.72","+","53.04","0.82","",
"臺灣高薪100指數","6,026.76","+","61.51","1.03","",
"臺灣低波動高股息指數","1,619.16","+","12.33","0.77","",
"未含金融保險股指數","9,168.81","+","78.25","0.86","",
"未含電子股指數","15,072.46","+","151.85","1.02","",
"未含金融電子股指數","12,853.21","+","115.58","0.91","",
"小型股300指數","6,434.49","+","11.54","0.18","",
"水泥窯製類指數","517.62","+","0.54","0.10","",
"塑膠化工類指數","966.92","+","17.38","1.83","",
"機電類指數","2,505.14","+","20.86","0.84","",
"水泥類指數","132.37","+","0.28","0.21","",
"食品類指數","1,680.52","-","5.65","-0.34","",
"塑膠類指數","309.62","+","6.95","2.30","",
"紡織纖維類指數","518.09","-","0.73","-0.14","",
"電機機械類指數","207.78","+","1.32","0.64","",
"電器電纜類指數","60.03","+","1.71","2.93","",
"化學生技醫療類指數","104.92","+","0.44","0.42","",
"化學類指數","108.73","+","1.49","1.39","",
"生技醫療類指數","70.43","-","0.56","-0.79","",
"玻璃陶瓷類指數","48.71","-","0.20","-0.41","",
"造紙類指數","246.02","+","4.10","1.69","",
"鋼鐵類指數","104.50","+","0.61","0.59","",
"橡膠類指數","266.26","+","2.91","1.10","",
"汽車類指數","228.17","-","0.01","---","",
"電子類指數","442.93","+","3.66","0.83","",
"半導體類指數","167.61","+","1.91","1.15","",
"電腦及週邊設備類指數","96.69","-","0.31","-0.32","",
"光電類指數","40.17","+","0.65","1.64","",
"通信網路類指數","122.50","+","0.10","0.08","",
"電子零組件類指數","104.98","-","0.72","-0.68","",
"電子通路類指數","125.44","-","0.80","-0.63","",
"資訊服務類指數","92.48","-","0.69","-0.74","",
"其他電子類指數","93.76","+","1.84","2.00","",
"建材營造類指數","269.47","+","0.49","0.18","",
"航運類指數","64.18","+","0.11","0.17","",
"觀光類指數","122.36","-","2.55","-2.04","",
"金融保險類指數","1,258.34","+","16.01","1.29","",
"貿易百貨類指數","257.37","+","1.47","0.57","",
"油電燃氣類指數","158.26","+","3.04","1.96","",
"其他類指數","248.16","+","0.36","0.15","",
"臺指日報酬兩倍指數","16,952.34","+","305.61","1.84","",
"臺指日報酬反向一倍指數","7,234.55","-","67.02","-0.92","",
"電子類兩倍槓桿指數","13,124.51","+","215.12","1.67","",
"電子類反向指數","7,882.51","-","66.23","-0.83","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","5,860.67","-","25.99","-0.44","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣永續指數","5,208.11","+","54.13","1.05","",
"漲升股利150指數","6,130.60","+","53.93","0.89","",
"漲升股利100指數","6,130.99","+","55.35","0.91","",
"藍籌30指數","5,793.57","+","64.80","1.13","",
"工業菁英30指數","6,141.95","+","77.02","1.27","",
"電子菁英30指數","5,863.20","+","18.94","0.32","",
"低波動精選30指數","5,789.36","+","67.23","1.17","",
"低貝塔100指數","5,427.19","+","4.23","0.08","",
"中小型精選50指數","5,558.96","+","2.04","0.04","",
"中小型A級動能50指數","6,552.49","-","28.76","-0.44","",
"特選高息低波指數","5,172.24","+","38.91","0.76","",
"特選內需高收益指數","5,307.54","+","14.45","0.27","",
"藍籌30反向一倍指數","8,498.03","-","97.22","-1.13","",
"工業菁英30反向一倍指數","9,391.18","-","120.79","-1.27","",
"金融類日報酬兩倍指數","19,580.38","+","491.99","2.58","",
"金融類日報酬反向一倍指數","6,782.69","-","88.55","-1.29","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","14,465.79","+","120.58","0.84","",
"發行量加權股價報酬指數","18,605.16","+","169.22","0.92","",
"臺灣公司治理100報酬指數","6,906.86","+","81.87","1.20","",
"臺灣50報酬指數","14,100.04","+","173.69","1.25","",
"臺灣中型100報酬指數","12,928.56","+","17.12","0.13","",
"臺灣資訊科技報酬指數","16,893.00","+","152.98","0.91","",
"臺灣發達報酬指數","13,836.01","+","148.04","1.08","",
"臺灣高股息報酬指數","11,838.10","+","44.32","0.38","",
"臺灣就業99報酬指數","8,285.80","+","67.61","0.82","",
"臺灣高薪100報酬指數","6,906.79","+","70.50","1.03","",
"臺灣低波動高股息報酬指數","3,665.56","+","27.92","0.77","",
"未含金融電子股報酬指數","22,138.14","+","199.09","0.91","",
"小型股300報酬指數","7,002.26","+","12.56","0.18","",
"水泥類報酬指數","200.63","+","0.42","0.21","",
"食品類報酬指數","2,134.51","-","7.18","-0.34","",
"塑膠類報酬指數","436.69","+","9.80","2.30","",
"紡織纖維類報酬指數","701.20","-","0.99","-0.14","",
"電機機械類報酬指數","275.43","+","1.74","0.64","",
"電器電纜類報酬指數","73.34","+","2.09","2.93","",
"化學生技醫療類報酬指數","140.99","+","0.59","0.42","",
"化學類報酬指數","151.85","+","2.08","1.39","",
"生技醫療類報酬指數","88.39","-","0.71","-0.80","",
"玻璃陶瓷類報酬指數","52.82","-","0.21","-0.40","",
"造紙類報酬指數","314.40","+","5.23","1.69","",
"鋼鐵類報酬指數","143.58","+","0.84","0.59","",
"橡膠類報酬指數","361.95","+","3.96","1.11","",
"汽車類報酬指數","303.16","-","0.02","-0.01","",
"電子類報酬指數","695.81","+","5.74","0.83","",
"半導體類報酬指數","251.12","+","2.86","1.15","",
"電腦及週邊設備類報酬指數","162.20","-","0.52","-0.32","",
"光電類報酬指數","50.95","+","0.82","1.64","",
"通信網路類報酬指數","213.41","+","0.17","0.08","",
"電子零組件類報酬指數","163.30","-","1.11","-0.68","",
"電子通路類報酬指數","220.86","-","1.41","-0.63","",
"資訊服務類報酬指數","165.90","-","1.24","-0.74","",
"其他電子類報酬指數","122.91","+","2.42","2.01","",
"建材營造類報酬指數","418.40","+","0.76","0.18","",
"航運類報酬指數","81.38","+","0.15","0.18","",
"觀光類報酬指數","146.22","-","3.05","-2.04","",
"金融保險類報酬指數","1,771.37","+","22.54","1.29","",
"貿易百貨類報酬指數","332.35","+","1.89","0.57","",
"油電燃氣類報酬指數","209.74","+","4.02","1.95","",
"其他類報酬指數","353.39","+","0.51","0.14","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","5,936.74","-","26.34","-0.44","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣永續報酬指數","5,414.62","+","56.28","1.05","",
"漲升股利150報酬指數","6,603.45","+","58.09","0.89","",
"漲升股利100報酬指數","6,593.70","+","59.53","0.91","",
"藍籌 30 報酬指數","6,034.11","+","67.48","1.13","",
"工業菁英 30 報酬指數","6,404.14","+","80.31","1.27","",
"電子菁英 30 報酬指數","6,092.01","+","19.67","0.32","",
"低波動精選 30 報酬指數","6,060.53","+","70.39","1.18","",
"低貝塔 100 報酬指數","5,673.01","+","4.42","0.08","",
"中小型精選50報酬指數","5,832.93","+","2.14","0.04","",
"中小型A級動能50報酬指數","6,759.28","-","29.67","-0.44","",
"特選高息低波報酬指數","5,403.38","+","40.65","0.76","",
"特選內需高收益報酬指數","5,307.54","+","14.45","0.27","",
"特股高息20報酬指數","--","","--","--","",
"台灣500報酬指數","--","","--","--","",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",
"特殊處理註記說明如下：<br>(1)A:指數公司重新計算指數收盤點數。<br>(2)B:依據編製規則，採商品(指數)非收盤價(點數)計算指數收盤點數。<br>(3)空白:無特殊處理。<br>(4)有關A、B兩種特殊處理註記，其原因及說明請至<a href= 'https://www.taiwanindex.com.tw/' target='_blank'>臺灣指數公司網站</a>查閱相關指數編製規則。",

