"107年02月08日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","12,105.49","-","33.90","-0.28","",
"發行量加權股價指數","10,528.52","-","23.02","-0.22","",
"臺灣公司治理100指數","6,010.22","-","15.56","-0.26","",
"臺灣50指數","8,008.04","-","13.23","-0.16","",
"臺灣中型100指數","7,499.77","-","44.79","-0.59","",
"臺灣資訊科技指數","10,403.26","-","49.11","-0.47","",
"臺灣發達指數","8,430.84","-","26.00","-0.31","",
"臺灣高股息指數","5,916.23","+","14.35","0.24","",
"臺灣就業99指數","6,258.41","+","2.38","0.04","",
"臺灣高薪100指數","5,843.00","+","1.65","0.03","",
"臺灣低波動高股息指數","1,516.41","+","2.68","0.18","",
"未含金融保險股指數","8,928.45","-","28.70","-0.32","",
"未含電子股指數","14,258.85","+","27.59","0.19","",
"未含金融電子股指數","12,175.68","+","9.82","0.08","",
"小型股300指數","6,140.51","-","11.91","-0.19","",
"水泥窯製類指數","462.95","+","3.79","0.83","",
"塑膠化工類指數","906.59","-","0.08","-0.01","",
"機電類指數","2,471.81","-","13.09","-0.53","",
"水泥類指數","117.29","+","1.00","0.86","",
"食品類指數","1,630.96","-","0.16","-0.01","",
"塑膠類指數","288.55","+","0.20","0.07","",
"紡織纖維類指數","464.80","+","0.93","0.20","",
"電機機械類指數","195.15","+","0.16","0.08","",
"電器電纜類指數","46.29","-","0.25","-0.54","",
"化學生技醫療類指數","95.42","-","0.29","-0.30","",
"化學類指數","103.19","-","0.31","-0.30","",
"生技醫療類指數","60.48","-","0.19","-0.31","",
"玻璃陶瓷類指數","45.53","+","0.30","0.66","",
"造紙類指數","232.22","+","1.49","0.65","",
"鋼鐵類指數","102.32","+","0.41","0.40","",
"橡膠類指數","275.49","-","0.18","-0.07","",
"汽車類指數","244.63","+","1.66","0.68","",
"電子類指數","438.58","-","2.42","-0.55","",
"半導體類指數","166.91","-","1.20","-0.71","",
"電腦及週邊設備類指數","98.34","+","0.09","0.09","",
"光電類指數","39.94","+","0.29","0.73","",
"通信網路類指數","124.16","-","0.81","-0.65","",
"電子零組件類指數","91.32","-","0.39","-0.43","",
"電子通路類指數","115.64","-","0.08","-0.07","",
"資訊服務類指數","87.63","+","0.09","0.10","",
"其他電子類指數","96.42","-","1.17","-1.20","",
"建材營造類指數","254.79","+","1.19","0.47","",
"航運類指數","64.32","-","0.11","-0.17","",
"觀光類指數","134.67","+","1.28","0.96","",
"金融保險類指數","1,186.51","+","5.58","0.47","",
"貿易百貨類指數","233.22","-","2.14","-0.91","",
"油電燃氣類指數","145.87","-","0.58","-0.40","",
"其他類指數","243.10","+","1.22","0.50","",
"臺指日報酬兩倍指數","15,998.62","-","70.11","-0.44","",
"臺指日報酬反向一倍指數","7,491.07","+","16.31","0.22","",
"電子類兩倍槓桿指數","12,948.90","-","143.69","-1.10","",
"電子類反向指數","8,010.61","+","43.72","0.55","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,895.78","-","68.00","-1.37","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣永續指數","5,159.39","-","7.30","-0.14","",
"漲升股利150指數","5,906.41","-","22.08","-0.37","",
"漲升股利100指數","5,891.27","-","23.68","-0.40","",
"藍籌30指數","5,617.65","-","1.37","-0.02","",
"工業菁英30指數","5,899.23","-","14.07","-0.24","",
"電子菁英30指數","5,838.42","-","26.66","-0.45","",
"低波動精選30指數","5,601.10","+","11.53","0.21","",
"低貝塔100指數","5,344.81","+","0.76","0.01","",
"中小型精選50指數","5,431.55","+","9.20","0.17","",
"中小型A級動能50指數","5,921.71","+","16.88","0.29","",
"特選高息低波指數","5,029.94","+","24.71","0.49","",
"特選內需高收益指數","5,121.46","-","4.00","-0.08","",
"藍籌30反向一倍指數","8,802.77","+","2.15","0.02","",
"工業菁英30反向一倍指數","9,830.19","+","23.33","0.24","",
"金融類日報酬兩倍指數","17,452.26","+","163.38","0.95","",
"金融類日報酬反向一倍指數","7,211.44","-","34.24","-0.47","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","13,996.79","-","39.19","-0.28","",
"發行量加權股價報酬指數","18,038.84","-","39.45","-0.22","",
"臺灣公司治理100報酬指數","6,783.58","-","17.57","-0.26","",
"臺灣50報酬指數","13,871.87","-","22.92","-0.16","",
"臺灣中型100報酬指數","12,039.49","-","71.90","-0.59","",
"臺灣資訊科技報酬指數","17,091.57","-","80.68","-0.47","",
"臺灣發達報酬指數","13,151.16","-","40.56","-0.31","",
"臺灣高股息報酬指數","11,661.65","+","28.28","0.24","",
"臺灣就業99報酬指數","7,977.09","+","3.03","0.04","",
"臺灣高薪100報酬指數","6,696.20","+","1.90","0.03","",
"臺灣低波動高股息報酬指數","3,432.94","+","6.08","0.18","",
"未含金融電子股報酬指數","20,971.16","+","16.91","0.08","",
"小型股300報酬指數","6,682.35","-","12.96","-0.19","",
"水泥類報酬指數","177.77","+","1.51","0.86","",
"食品類報酬指數","2,071.57","-","0.20","-0.01","",
"塑膠類報酬指數","406.98","+","0.30","0.07","",
"紡織纖維類報酬指數","629.07","+","1.25","0.20","",
"電機機械類報酬指數","258.69","+","0.21","0.08","",
"電器電纜類報酬指數","56.55","-","0.30","-0.53","",
"化學生技醫療類報酬指數","128.23","-","0.39","-0.30","",
"化學類報酬指數","144.12","-","0.44","-0.30","",
"生技醫療類報酬指數","75.91","-","0.23","-0.30","",
"玻璃陶瓷類報酬指數","49.37","+","0.32","0.65","",
"造紙類報酬指數","296.77","+","1.91","0.65","",
"鋼鐵類報酬指數","140.59","+","0.57","0.41","",
"橡膠類報酬指數","374.50","-","0.24","-0.06","",
"汽車類報酬指數","325.04","+","2.21","0.68","",
"電子類報酬指數","688.97","-","3.81","-0.55","",
"半導體類報酬指數","250.08","-","1.79","-0.71","",
"電腦及週邊設備類報酬指數","164.96","+","0.15","0.09","",
"光電類報酬指數","50.67","+","0.37","0.74","",
"通信網路類報酬指數","216.30","-","1.42","-0.65","",
"電子零組件類報酬指數","142.04","-","0.62","-0.43","",
"電子通路類報酬指數","203.44","-","0.14","-0.07","",
"資訊服務類報酬指數","157.20","+","0.17","0.11","",
"其他電子類報酬指數","126.40","-","1.52","-1.19","",
"建材營造類報酬指數","395.61","+","1.85","0.47","",
"航運類報酬指數","81.55","-","0.14","-0.17","",
"觀光類報酬指數","160.93","+","1.52","0.95","",
"金融保險類報酬指數","1,670.26","+","7.85","0.47","",
"貿易百貨類報酬指數","301.17","-","2.76","-0.91","",
"油電燃氣類報酬指數","193.33","-","0.76","-0.39","",
"其他類報酬指數","346.18","+","1.73","0.50","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","4,959.34","-","68.88","-1.37","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣永續報酬指數","5,363.96","-","7.60","-0.14","",
"漲升股利150報酬指數","6,361.97","-","23.78","-0.37","",
"漲升股利100報酬指數","6,335.89","-","25.47","-0.40","",
"藍籌 30 報酬指數","5,850.89","-","1.43","-0.02","",
"工業菁英 30 報酬指數","6,151.06","-","14.67","-0.24","",
"電子菁英 30 報酬指數","6,066.27","-","27.70","-0.45","",
"低波動精選 30 報酬指數","5,863.45","+","12.08","0.21","",
"低貝塔 100 報酬指數","5,586.90","+","0.80","0.01","",
"中小型精選50報酬指數","5,699.24","+","9.66","0.17","",
"中小型A級動能50報酬指數","6,108.58","+","17.41","0.29","",
"特選高息低波報酬指數","5,254.71","+","25.80","0.49","",
"特選內需高收益報酬指數","5,121.46","-","4.00","-0.08","",
"特股高息20報酬指數","--","","--","--","",
"台灣500報酬指數","--","","--","--","",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",
"特殊處理註記說明如下：<br>(1)A:指數公司重新計算指數收盤點數。<br>(2)B:依據編製規則，採商品(指數)非收盤價(點數)計算指數收盤點數。<br>(3)空白:無特殊處理。<br>(4)有關A、B兩種特殊處理註記，其原因及說明請至<a href= 'https://www.taiwanindex.com.tw/' target='_blank'>臺灣指數公司網站</a>查閱相關指數編製規則。",

