"107年06月11日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"電腦及週邊設備類報酬指數","169.89","+","0.20","0.12","",
"光電類報酬指數","57.55","+","0.21","0.37","",
"通信網路類報酬指數","219.84","-","0.82","-0.37","",
"電子零組件類報酬指數","194.49","+","3.47","1.82","",
"電子通路類報酬指數","230.98","+","0.52","0.23","",
"資訊服務類報酬指數","171.10","-","1.07","-0.62","",
"其他電子類報酬指數","125.99","-","0.69","-0.54","",
"建材營造類報酬指數","437.04","-","1.11","-0.25","",
"航運類報酬指數","80.50","-","0.09","-0.11","",
"觀光類報酬指數","143.17","-","1.54","-1.06","",
"金融保險類報酬指數","1,815.93","-","0.81","-0.04","",
"貿易百貨類報酬指數","342.40","+","0.22","0.06","",
"油電燃氣類報酬指數","206.33","-","0.80","-0.39","",
"其他類報酬指數","357.16","+","0.41","0.11","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","5,897.36","-","38.13","-0.64","",
"臺灣中小型公司治理報酬指數","5,817.35","+","15.34","0.26","",
"臺灣IPO報酬指數","5,151.45","+","13.63","0.27","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣永續報酬指數","5,452.90","-","18.95","-0.35","",
"漲升股利150報酬指數","6,732.01","-","10.18","-0.15","",
"漲升股利100報酬指數","6,731.41","-","18.62","-0.28","",
"藍籌 30 報酬指數","6,177.40","+","3.03","0.05","",
"工業菁英 30 報酬指數","6,525.33","-","8.39","-0.13","",
"電子菁英 30 報酬指數","6,438.74","+","28.24","0.44","",
"低波動精選 30 報酬指數","6,124.71","-","24.42","-0.40","",
"低貝塔 100 報酬指數","5,764.84","-","9.14","-0.16","",
"中小型精選50報酬指數","5,996.86","+","10.22","0.17","",
"中小型A級動能50報酬指數","7,646.49","+","48.12","0.63","",
"特選高息低波報酬指數","5,510.34","+","4.26","0.08","",
"特選內需高收益報酬指數","5,420.10","-","19.52","-0.36","",
"價值投資報酬指數","5,533.28","+","2.55","0.05","",
"特股高息20報酬指數","--","","--","--","",
"台灣500報酬指數","--","","--","--","",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",
"特殊處理註記說明如下：<br>(1)A:指數公司重新計算指數收盤點數。<br>(2)B:依據編製規則，採商品(指數)非收盤價(點數)計算指數收盤點數。<br>(3)空白:無特殊處理。<br>(4)有關A、B兩種特殊處理註記，其原因及說明請至<a href= 'https://www.taiwanindex.com.tw/' target='_blank'>臺灣指數公司網站</a>查閱相關指數編製規則。",

