"110年04月28日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"化學類報酬指數","209.43","+","2.76","1.34","",
"生技醫療類報酬指數","96.54","-","0.77","-0.79","",
"玻璃陶瓷類報酬指數","94.99","+","8.36","9.65","",
"造紙類報酬指數","677.57","+","0.63","0.09","",
"鋼鐵類報酬指數","274.40","-","5.44","-1.94","",
"橡膠類報酬指數","600.55","-","13.77","-2.24","",
"汽車類報酬指數","531.90","-","0.19","-0.04","",
"電子工業類報酬指數","1,509.21","-","4.58","-0.30","",
"半導體類報酬指數","707.73","-","5.44","-0.76","",
"電腦及週邊設備類報酬指數","284.83","-","0.18","-0.06","",
"光電類報酬指數","75.36","+","1.97","2.68","",
"通信網路類報酬指數","260.36","+","0.28","0.11","",
"電子零組件類報酬指數","314.13","+","3.47","1.12","",
"電子通路類報酬指數","355.65","+","3.84","1.09","",
"資訊服務類報酬指數","286.73","+","0.54","0.19","",
"其他電子類報酬指數","162.27","-","1.53","-0.93","",
"建材營造類報酬指數","690.13","-","2.22","-0.32","",
"航運類報酬指數","241.65","+","2.23","0.93","",
"觀光類報酬指數","146.90","+","0.16","0.11","",
"金融保險類報酬指數","2,394.85","-","0.58","-0.02","",
"貿易百貨類報酬指數","429.35","-","0.17","-0.04","",
"油電燃氣類報酬指數","200.74","+","0.02","0.01","",
"其他類報酬指數","585.55","-","0.52","-0.09","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","4,980.63","-","93.83","-1.85","",
"臺灣中小型公司治理報酬指數","9,477.65","+","6.13","0.06","",
"臺灣IPO報酬指數","8,297.17","-","64.36","-0.77","",
"智慧中立報酬指數","4,693.81","-","10.59","-0.23","",
"加權指數掩護性臺指買權價外5%報酬指數","7,257.61","-","6.75","-0.09","",
"臺灣5G報酬指數","9,891.27","+","39.02","0.40","",
"臺灣企業社會責任中小型報酬指數","8,094.44","+","64.06","0.80","",
"特選臺灣電動車代表報酬指數","8,192.92","+","94.55","1.17","",
"臺灣5G+通訊報酬指數","7,051.43","-","16.01","-0.23","",
"臺灣全市場報酬指數","6,013.55","-","9.62","-0.16","",
"臺灣全市場半導體報酬指數","6,375.58","+","0.97","0.02","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"漲升股利150報酬指數","11,781.91","+","2.16","0.02","",
"漲升股利100報酬指數","10,410.48","-","36.03","-0.34","",
"藍籌30報酬指數","10,404.62","-","24.60","-0.24","",
"工業菁英30報酬指數","11,663.83","-","48.52","-0.41","",
"電子菁英30報酬指數","10,934.52","-","30.38","-0.28","",
"低波動股利精選30報酬指數","8,094.86","-","0.87","-0.01","",
"低貝塔100報酬指數","9,110.57","-","34.07","-0.37","",
"中小型精選50報酬指數","9,158.80","-","48.75","-0.53","",
"中小型A級動能50報酬指數","18,165.03","+","203.77","1.13","",
"特選高息低波報酬指數","9,139.04","-","34.85","-0.38","",
"臺灣永續報酬指數","10,527.41","-","26.28","-0.25","",
"特選內需高收益報酬指數","7,323.62","+","11.70","0.16","",
"價值投資報酬指數","9,942.43","+","17.47","0.18","",
"存股雙十等權重報酬指數","8,793.48","+","12.72","0.14","",
"特選大蘋果報酬指數","9,245.70","+","25.30","0.27","",
"中小型300報酬指數","9,744.63","+","44.39","0.46","",
"特股高息20報酬指數","6,458.82","-","1.50","-0.02","",
"臺灣500報酬指數","9,831.28","-","5.83","-0.06","",
"臺灣勞工權益報酬指數","8,478.74","-","25.90","-0.30","",
"微波高息精選20報酬指數","6,639.81","-","27.45","-0.41","",
"特選世代行動通訊報酬指數","6,903.98","+","37.85","0.55","",
"智慧投資多因子30報酬指數","6,750.30","-","25.15","-0.37","",
