"110年05月04日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","19,250.14","-","352.16","-1.80","",
"發行量加權股價指數","16,933.78","-","288.57","-1.68","",
"臺灣公司治理100指數","9,945.62","-","80.46","-0.80","",
"臺灣50指數","13,650.25","-","81.00","-0.59","",
"臺灣50權重上限30%指數","12,917.36","-","135.78","-1.04","",
"臺灣中型100指數","12,891.80","-","510.94","-3.81","",
"臺灣資訊科技指數","23,730.70","-","157.45","-0.66","",
"臺灣發達指數","11,168.63","-","310.16","-2.70","",
"臺灣高股息指數","8,148.09","-","134.29","-1.62","",
"臺灣就業99指數","9,973.93","-","285.85","-2.79","",
"臺灣高薪100指數","8,791.27","-","167.28","-1.87","",
"未含金融指數","14,882.10","-","254.26","-1.68","",
"未含電子指數","18,437.18","-","530.05","-2.79","",
"未含金融電子指數","16,021.95","-","536.55","-3.24","",
"小型股300指數","8,975.55","-","334.92","-3.60","",
"水泥窯製類指數","777.74","-","28.29","-3.51","",
"塑膠化工類指數","997.74","-","23.41","-2.29","",
"機電類指數","4,589.11","-","51.78","-1.12","",
"水泥類指數","197.23","-","4.45","-2.21","",
"食品類指數","1,953.29","-","31.04","-1.56","",
"塑膠類指數","300.48","-","5.21","-1.70","",
"紡織纖維類指數","667.49","-","16.00","-2.34","",
"電機機械類指數","259.65","-","10.16","-3.77","",
"電器電纜類指數","85.03","-","6.25","-6.85","",
"化學生技醫療類指數","112.37","-","5.30","-4.50","",
"化學類指數","126.08","-","6.51","-4.91","",
"生技醫療類指數","68.58","-","2.89","-4.04","",
"玻璃陶瓷類指數","77.04","-","7.97","-9.38","",
"造紙類指數","418.98","-","25.80","-5.80","",
"鋼鐵類指數","170.33","-","12.13","-6.65","",
"橡膠類指數","378.21","-","7.49","-1.94","",
"汽車類指數","338.18","-","6.23","-1.81","",
"電子工業類指數","822.10","-","8.41","-1.01","",
"半導體類指數","409.90","-","0.19","-0.05","",
"電腦及週邊設備類指數","143.25","-","1.90","-1.31","",
"光電類指數","48.92","-","2.42","-4.71","",
"通信網路類指數","129.35","-","1.90","-1.45","",
"電子零組件類指數","167.87","-","5.69","-3.28","",
"電子通路類指數","162.77","-","3.21","-1.93","",
"資訊服務類指數","132.24","-","1.92","-1.43","",
"其他電子類指數","101.71","-","3.48","-3.31","",
"建材營造類指數","367.78","-","4.16","-1.12","",
"航運類指數","168.76","-","15.64","-8.48","",
"觀光類指數","104.01","-","2.36","-2.22","",
"金融保險類指數","1,471.10","-","24.51","-1.64","",
"貿易百貨類指數","284.58","-","4.39","-1.52","",
"油電燃氣類指數","130.93","-","1.27","-0.96","",
"其他類指數","352.38","-","6.81","-1.90","",
"臺指日報酬兩倍指數","37,972.66","-","1,316.63","-3.35","",
"臺指反向一倍指數","4,277.89","+","70.50","1.68","",
"電子類兩倍槓桿指數","40,183.79","-","830.65","-2.03","",
"電子類反向指數","3,776.75","+","37.86","1.01","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,454.27","-","223.61","-4.78","",
"臺灣中小型公司治理指數","7,606.41","-","158.36","-2.04","",
"臺灣IPO指數","7,216.03","-","302.53","-4.02","",
"智慧中立指數","4,447.02","+","4.94","0.11","",
"臺灣企業社會責任中小型指數","7,422.39","-","306.02","-3.96","",
"臺灣5G+通訊指數","6,758.03","-","76.77","-1.12","",
"臺灣全市場指數","5,768.53","-","109.42","-1.86","",
"臺灣全市場半導體指數","6,105.11","-","63.75","-1.03","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","25,134.71","-","851.73","-3.28","",
"金融類日報酬反向一倍指數","5,454.17","+","87.94","1.64","",
"漲升股利150指數","9,093.99","-","179.73","-1.94","",
"漲升股利100指數","8,138.31","-","143.95","-1.74","",
"藍籌30指數","8,636.06","-","89.73","-1.03","",
"工業菁英30指數","9,720.04","-","99.85","-1.02","",
"電子菁英30指數","9,059.82","-","135.43","-1.47","",
"低波動股利精選30指數","6,626.51","-","93.45","-1.39","",
"低貝塔100指數","7,375.08","-","122.03","-1.63","",
"中小型精選50指數","7,273.07","-","143.49","-1.93","",
"中小型A級動能50指數","15,386.85","-","737.01","-4.57","",
"特選高息低波指數","7,210.02","-","130.34","-1.78","",
"臺灣永續指數","8,668.84","-","107.11","-1.22","",
"特選內需高收益指數","6,088.85","-","95.94","-1.55","",
"價值投資指數","7,986.80","-","225.63","-2.75","",
"中小型300指數","8,557.63","-","300.24","-3.39","",
"臺灣勞工權益指數","7,525.21","-","78.98","-1.04","",
"智慧投資多因子30指數","6,260.05","-","74.12","-1.17","",
"臺股期貨指數","8,057.30","-","152.27","-1.85","",
"臺灣上櫃企業社會責任指數","6,332.40","-","205.89","-3.15","",
"特選Smart多因子指數","6,571.68","-","123.10","-1.84","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","25,079.73","-","458.80","-1.80","",
"發行量加權股價報酬指數","32,753.72","-","558.16","-1.68","",
"臺灣公司治理100報酬指數","12,699.08","-","102.72","-0.80","",
"臺灣50報酬指數","26,744.96","-","158.71","-0.59","",
"臺灣50權重上限30%報酬指數","25,310.76","-","266.05","-1.04","",
"臺灣中型100報酬指數","23,263.44","-","922.00","-3.81","",
