"107年06月22日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","12,578.09","-","55.46","-0.44","",
"發行量加權股價指數","10,899.28","-","41.79","-0.38","",
"臺灣公司治理100指數","6,060.23","+","1.17","0.02","",
"臺灣50指數","8,089.62","-","12.52","-0.15","",
"臺灣中型100指數","8,160.46","-","106.94","-1.29","",
"臺灣資訊科技指數","10,140.57","-","5.47","-0.05","",
"臺灣發達指數","8,924.97","-","71.66","-0.80","",
"臺灣高股息指數","6,026.32","-","54.71","-0.90","",
"臺灣就業99指數","6,475.03","-","24.83","-0.38","",
"臺灣高薪100指數","6,045.59","-","8.16","-0.13","",
"臺灣低波動高股息指數","1,644.46","-","4.38","-0.27","",
"未含金融保險股指數","9,194.79","-","40.55","-0.44","",
"未含電子股指數","15,067.22","-","18.88","-0.13","",
"未含金融電子股指數","12,797.56","-","22.02","-0.17","",
"小型股300指數","6,723.85","-","55.62","-0.82","",
"水泥窯製類指數","532.07","+","0.20","0.04","",
"塑膠化工類指數","971.47","+","4.90","0.51","",
"機電類指數","2,514.80","-","16.31","-0.64","",
"水泥類指數","139.08","+","0.30","0.22","",
"食品類指數","1,797.63","-","6.94","-0.38","",
"塑膠類指數","311.96","+","2.83","0.92","",
"紡織纖維類指數","518.96","-","2.70","-0.52","",
"電機機械類指數","193.09","-","3.05","-1.56","",
"電器電纜類指數","57.61","-","1.26","-2.14","",
"化學生技醫療類指數","104.91","-","0.67","-0.63","",
"化學類指數","108.82","-","0.54","-0.49","",
"生技醫療類指數","70.33","-","0.59","-0.83","",
"玻璃陶瓷類指數","44.67","-","0.43","-0.95","",
"造紙類指數","219.81","-","3.17","-1.42","",
"鋼鐵類指數","105.72","-","0.30","-0.28","",
"橡膠類指數","264.19","-","0.95","-0.36","",
"汽車類指數","225.10","-","0.56","-0.25","",
"電子類指數","446.12","-","2.69","-0.60","",
"半導體類指數","165.67","+","0.24","0.15","",
"電腦及週邊設備類指數","97.37","-","1.17","-1.19","",
"光電類指數","43.37","-","1.17","-2.63","",
"通信網路類指數","125.52","-","0.04","-0.03","",
"電子零組件類指數","112.03","-","2.76","-2.40","",
"電子通路類指數","129.41","+","0.17","0.13","",
"資訊服務類指數","93.92","-","0.09","-0.10","",
"其他電子類指數","91.34","-","0.71","-0.77","",
"建材營造類指數","276.32","-","1.37","-0.49","",
"航運類指數","62.06","-","0.58","-0.93","",
"觀光類指數","119.17","-","0.51","-0.43","",
"金融保險類指數","1,270.15","-","0.16","-0.01","",
"貿易百貨類指數","270.70","-","1.83","-0.67","",
"油電燃氣類指數","151.47","+","0.58","0.38","",
"其他類指數","243.37","-","1.23","-0.50","",
"臺指日報酬兩倍指數","17,051.43","-","131.26","-0.76","",
"臺指日報酬反向一倍指數","7,196.46","+","27.38","0.38","",
"電子類兩倍槓桿指數","13,280.85","-","161.13","-1.20","",
"電子類反向指數","7,806.51","+","46.51","0.60","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","5,746.95","-","35.83","-0.62","",
"臺灣中小型公司治理指數","5,375.07","-","51.97","-0.96","",
"臺灣IPO指數","5,080.08","-","40.60","-0.79","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣永續指數","5,163.25","-","3.13","-0.06","",
"漲升股利150指數","6,128.59","-","21.11","-0.34","",
"漲升股利100指數","6,134.68","-","18.32","-0.30","",
"藍籌30指數","5,772.86","-","18.31","-0.32","",
"工業菁英30指數","6,160.94","-","20.00","-0.32","",
"電子菁英30指數","5,943.06","-","53.31","-0.89","",
"低波動精選30指數","5,810.72","+","7.05","0.12","",
"低貝塔100指數","5,451.04","-","10.09","-0.18","",
"中小型精選50指數","5,594.64","-","36.01","-0.64","",
"中小型A級動能50指數","6,869.30","-","177.46","-2.52","",
"特選高息低波指數","5,155.47","-","18.71","-0.36","",
"特選內需高收益指數","5,444.55","-","16.13","-0.30","",
"價值投資指數","5,505.55","-","10.31","-0.19","",
"藍籌30反向一倍指數","8,505.68","+","26.81","0.32","",
"工業菁英30反向一倍指數","9,340.07","+","30.12","0.32","",
"金融類日報酬兩倍指數","19,921.78","-","5.02","-0.03","",
"金融類日報酬反向一倍指數","6,710.35","+","0.85","0.01","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","14,555.09","-","63.95","-0.44","",
"發行量加權股價報酬指數","18,687.13","-","71.48","-0.38","",
"臺灣公司治理100報酬指數","6,843.49","+","1.33","0.02","",
"臺灣50報酬指數","14,013.20","-","21.68","-0.15","",
"臺灣中型100報酬指數","13,137.26","-","172.16","-1.29","",
"臺灣資訊科技報酬指數","16,665.94","-","8.98","-0.05","",
"臺灣發達報酬指數","13,931.30","-","111.86","-0.80","",
"臺灣高股息報酬指數","11,901.93","-","108.07","-0.90","",
"臺灣就業99報酬指數","8,255.72","-","31.66","-0.38","",
"臺灣高薪100報酬指數","6,930.19","-","9.36","-0.13","",
"臺灣低波動高股息報酬指數","3,722.83","-","9.92","-0.27","",
"未含金融電子股報酬指數","22,062.02","-","37.44","-0.17","",
"小型股300報酬指數","7,329.00","-","60.64","-0.82","",
"水泥類報酬指數","210.80","+","0.46","0.22","",
"食品類報酬指數","2,283.26","-","8.82","-0.38","",
"塑膠類報酬指數","439.99","+","3.99","0.92","",
"紡織纖維類報酬指數","702.38","-","3.66","-0.52","",
"電機機械類報酬指數","255.96","-","4.05","-1.56","",
"電器電纜類報酬指數","72.14","-","1.58","-2.14","",
"化學生技醫療類報酬指數","141.17","-","0.91","-0.64","",
"化學類報酬指數","152.30","-","0.75","-0.49","",
"生技醫療類報酬指數","88.32","-","0.73","-0.82","",
"玻璃陶瓷類報酬指數","48.44","-","0.46","-0.94","",
"造紙類報酬指數","280.90","-","4.06","-1.42","",
"鋼鐵類報酬指數","145.29","-","0.41","-0.28","",
"橡膠類報酬指數","359.82","-","1.30","-0.36","",
"汽車類報酬指數","299.09","-","0.74","-0.25","",
"電子類報酬指數","701.25","-","4.23","-0.60","",
"半導體類報酬指數","248.23","+","0.35","0.14","",
"電腦及週邊設備類報酬指數","163.38","-","1.97","-1.19","",
"光電類報酬指數","55.13","-","1.48","-2.61","",
"通信網路類報酬指數","218.70","-","0.07","-0.03","",
"電子零組件類報酬指數","174.65","-","4.30","-2.40","",
"電子通路類報酬指數","228.73","+","0.29","0.13","",
"資訊服務類報酬指數","169.31","-","0.17","-0.10","",
"其他電子類報酬指數","119.79","-","0.93","-0.77","",
"建材營造類報酬指數","429.22","-","1.95","-0.45","",
"航運類報酬指數","78.70","-","0.74","-0.93","",
"觀光類報酬指數","143.90","-","0.56","-0.39","",
"金融保險類報酬指數","1,788.90","-","0.22","-0.01","",
"貿易百貨類報酬指數","350.28","-","2.37","-0.67","",
"油電燃氣類報酬指數","200.74","+","0.76","0.38","",
"其他類報酬指數","347.14","-","1.75","-0.50","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","5,822.79","-","36.30","-0.62","",
"臺灣中小型公司治理報酬指數","5,632.62","-","54.45","-0.96","",
"臺灣IPO報酬指數","5,086.29","-","40.66","-0.79","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣永續報酬指數","5,368.92","-","3.25","-0.06","",
"漲升股利150報酬指數","6,605.79","-","22.75","-0.34","",
"漲升股利100報酬指數","6,602.30","-","19.71","-0.30","",
"藍籌 30 報酬指數","6,012.54","-","19.07","-0.32","",
"工業菁英 30 報酬指數","6,423.94","-","20.86","-0.32","",
"電子菁英 30 報酬指數","6,175.68","-","55.40","-0.89","",
"低波動精選 30 報酬指數","6,082.89","+","7.38","0.12","",
"低貝塔 100 報酬指數","5,706.64","-","10.56","-0.18","",
"中小型精選50報酬指數","5,898.19","-","37.97","-0.64","",
"中小型A級動能50報酬指數","7,086.09","-","183.05","-2.52","",
"特選高息低波報酬指數","5,398.06","-","19.58","-0.36","",
"特選內需高收益報酬指數","5,452.26","-","16.14","-0.30","",
"價值投資報酬指數","5,505.55","-","10.31","-0.19","",
"特股高息20報酬指數","--","","--","--","",
"台灣500報酬指數","--","","--","--","",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",
"特殊處理註記說明如下：<br>(1)A:指數公司重新計算指數收盤點數。<br>(2)B:依據編製規則，採商品(指數)非收盤價(點數)計算指數收盤點數。<br>(3)空白:無特殊處理。<br>(4)有關A、B兩種特殊處理註記，其原因及說明請至<a href= 'https://www.taiwanindex.com.tw/' target='_blank'>臺灣指數公司網站</a>查閱相關指數編製規則。",

