"107年01月11日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","12,453.22","-","21.43","-0.17","",
"發行量加權股價指數","10,810.06","-","21.03","-0.19","",
"臺灣公司治理100指數","6,109.15","-","16.03","-0.26","",
"臺灣50指數","8,099.62","-","27.63","-0.34","",
"臺灣中型100指數","7,890.49","+","12.86","0.16","",
"臺灣資訊科技指數","10,378.39","-","45.03","-0.43","",
"臺灣發達指數","8,712.65","-","6.47","-0.07","",
"臺灣高股息指數","5,969.18","+","14.79","0.25","",
"臺灣就業99指數","6,443.02","-","13.95","-0.22","",
"臺灣高薪100指數","6,013.07","-","9.23","-0.15","",
"臺灣低波動高股息指數","1,560.65","-","2.06","-0.13","",
"未含金融保險股指數","9,149.98","-","16.40","-0.18","",
"未含電子股指數","14,865.70","-","35.20","-0.24","",
"未含金融電子股指數","12,708.25","-","27.08","-0.21","",
"小型股300指數","6,468.57","-","10.82","-0.17","",
"水泥窯製類指數","497.39","-","11.98","-2.35","",
"塑膠化工類指數","941.74","-","2.05","-0.22","",
"機電類指數","2,507.66","-","4.26","-0.17","",
"水泥類指數","121.56","-","3.16","-2.53","",
"食品類指數","1,674.55","+","5.04","0.30","",
"塑膠類指數","297.28","-","0.26","-0.09","",
"紡織纖維類指數","495.87","-","2.21","-0.44","",
"電機機械類指數","197.43","-","0.61","-0.31","",
"電器電纜類指數","52.37","-","0.52","-0.98","",
"化學生技醫療類指數","101.26","-","0.69","-0.68","",
"化學類指數","109.31","-","0.91","-0.83","",
"生技醫療類指數","64.35","-","0.29","-0.45","",
"玻璃陶瓷類指數","56.90","-","0.97","-1.68","",
"造紙類指數","250.59","-","2.43","-0.96","",
"鋼鐵類指數","108.58","+","0.36","0.33","",
"橡膠類指數","291.84","-","0.91","-0.31","",
"汽車類指數","253.74","-","1.70","-0.67","",
"電子類指數","444.69","-","0.71","-0.16","",
"半導體類指數","166.82","-","0.93","-0.55","",
"電腦及週邊設備類指數","100.65","+","0.48","0.48","",
"光電類指數","40.41","-","0.12","-0.30","",
"通信網路類指數","128.03"," ","--","--","",
"電子零組件類指數","95.81","-","0.01","-0.01","",
"電子通路類指數","121.65","-","0.23","-0.19","",
"資訊服務類指數","89.06","+","0.13","0.15","",
"其他電子類指數","98.67","+","0.74","0.76","",
"建材營造類指數","263.70","-","1.17","-0.44","",
"航運類指數","70.43","+","0.07","0.10","",
"觀光類指數","134.17","+","0.72","0.54","",
"金融保險類指數","1,233.58","-","3.63","-0.29","",
"貿易百貨類指數","237.72","+","0.70","0.30","",
"油電燃氣類指數","150.74","-","0.60","-0.40","",
"其他類指數","257.48","+","0.65","0.25","",
"臺指日報酬兩倍指數","16,929.50","-","66.00","-0.39","",
"臺指日報酬反向一倍指數","7,321.59","+","14.19","0.19","",
"電子類兩倍槓桿指數","13,375.76","-","42.78","-0.32","",
"電子類反向指數","7,935.87","+","12.63","0.16","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","5,098.00","-","48.07","-0.93","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣永續指數","5,245.92","-","20.32","-0.39","",
"漲升股利150指數","6,063.79","-","5.23","-0.09","",
"漲升股利100指數","6,014.09","-","5.01","-0.08","",
"藍籌30指數","5,717.01","-","21.76","-0.38","",
"工業菁英30指數","6,019.92","-","11.01","-0.18","",
"電子菁英30指數","5,888.28","-","4.51","-0.08","",
"低波動精選30指數","5,734.48","-","19.58","-0.34","",
"低貝塔100指數","5,477.09","-","19.68","-0.36","",
"中小型精選50指數","5,701.24","+","23.87","0.42","",
"中小型A級動能50指數","6,415.62","+","11.56","0.18","",
"特選高息低波指數","5,160.90","+","14.95","0.29","",
"特選內需高收益指數","5,241.91","-","17.89","-0.34","",
"藍籌30反向一倍指數","8,675.79","+","32.77","0.38","",
"工業菁英30反向一倍指數","9,665.29","+","17.61","0.18","",
"金融類日報酬兩倍指數","18,929.40","-","111.73","-0.59","",
"金融類日報酬反向一倍指數","6,958.65","+","20.36","0.29","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","14,398.85","-","24.78","-0.17","",
"發行量加權股價報酬指數","18,521.21","-","36.03","-0.19","",
"臺灣公司治理100報酬指數","6,895.24","-","18.09","-0.26","",
"臺灣50報酬指數","14,030.52","-","47.86","-0.34","",
"臺灣中型100報酬指數","12,666.73","+","20.65","0.16","",
"臺灣資訊科技報酬指數","17,050.71","-","73.98","-0.43","",
