"110年04月14日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","19,210.78","+","17.11","0.09","",
"發行量加權股價指數","16,865.97","+","41.06","0.24","",
"臺灣公司治理100指數","9,924.51","+","58.56","0.59","",
"臺灣50指數","13,765.35","+","87.71","0.64","",
"臺灣50權重上限30%指數","12,880.74","+","53.89","0.42","",
"臺灣中型100指數","12,454.23","-","41.86","-0.33","",
"臺灣資訊科技指數","24,182.02","+","108.58","0.45","",
"臺灣發達指數","10,733.58","+","96.73","0.91","",
"臺灣高股息指數","7,984.79","-","9.52","-0.12","",
"臺灣就業99指數","9,672.46","-","67.38","-0.69","",
"臺灣高薪100指數","8,638.63","+","17.52","0.20","",
"未含金融指數","14,888.02","+","41.30","0.28","",
"未含電子指數","17,633.21","+","51.06","0.29","",
"未含金融電子指數","15,313.65","+","65.57","0.43","",
"小型股300指數","8,844.20","-","64.49","-0.72","",
"水泥窯製類指數","715.89","+","1.82","0.25","",
"塑膠化工類指數","976.21","+","0.06","0.01","",
"機電類指數","4,670.95","+","10.60","0.23","",
"水泥類指數","187.87","-","0.38","-0.20","",
"食品類指數","1,908.40","-","0.71","-0.04","",
"塑膠類指數","292.60","+","1.28","0.44","",
"紡織纖維類指數","620.56","-","0.50","-0.08","",
"電機機械類指數","264.58","+","1.58","0.60","",
"電器電纜類指數","68.96","+","0.12","0.17","",
"化學生技醫療類指數","112.66","-","0.81","-0.71","",
"化學類指數","123.85","+","0.26","0.21","",
"生技醫療類指數","70.35","-","1.21","-1.69","",
"玻璃陶瓷類指數","58.94","+","1.78","3.11","",
"造紙類指數","425.54","-","3.68","-0.86","",
"鋼鐵類指數","151.88","+","8.18","5.69","",
"橡膠類指數","365.55","-","4.04","-1.09","",
"汽車類指數","346.95","-","0.62","-0.18","",
"電子工業類指數","837.78","+","1.83","0.22","",
"半導體類指數","417.10","+","2.92","0.71","",
"電腦及週邊設備類指數","142.38","+","0.06","0.04","",
"光電類指數","48.28","-","0.93","-1.89","",
"通信網路類指數","130.09","+","0.21","0.16","",
"電子零組件類指數","172.10","-","1.71","-0.98","",
"電子通路類指數","160.64","-","0.57","-0.35","",
"資訊服務類指數","134.07","-","1.32","-0.97","",
"其他電子類指數","111.30","-","0.91","-0.81","",
"建材營造類指數","360.57","-","0.20","-0.06","",
"航運類指數","131.75","+","2.42","1.87","",
"觀光類指數","108.28","+","0.28","0.26","",
"金融保險類指數","1,409.21","-","0.89","-0.06","",
"貿易百貨類指數","284.46","-","0.05","-0.02","",
"油電燃氣類指數","128.70","-","1.00","-0.77","",
"其他類指數","355.35","-","1.96","-0.55","",
"臺指日報酬兩倍指數","37,721.34","+","183.22","0.49","",
"臺指反向一倍指數","4,300.99","-","10.52","-0.24","",
"電子類兩倍槓桿指數","41,811.03","+","182.26","0.44","",
"電子類反向指數","3,713.05","-","8.15","-0.22","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,706.74","-","89.43","-1.86","",
"臺灣中小型公司治理指數","7,587.76","-","44.40","-0.58","",
"臺灣IPO指數","7,755.66","-","96.94","-1.23","",
"智慧中立指數","4,427.53","-","16.54","-0.37","",
"臺灣企業社會責任中小型指數","7,000.08","-","6.84","-0.10","",
"臺灣5G+通訊指數","6,793.89","+","7.33","0.11","",
"臺灣全市場指數","5,753.93","+","6.55","0.11","",
"臺灣全市場半導體指數","6,012.02","-","17.97","-0.30","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","23,105.29","-","29.20","-0.13","",
"金融類日報酬反向一倍指數","5,704.12","+","3.60","0.06","",
"漲升股利150指數","8,923.13","-","8.12","-0.09","",
"漲升股利100指數","8,109.96","+","44.63","0.55","",
"藍籌30指數","8,525.17","+","33.80","0.40","",
"工業菁英30指數","9,524.02","+","49.09","0.52","",
