"107年02月01日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","12,841.03","+","56.65","0.44","",
"發行量加權股價指數","11,160.25","+","56.46","0.51","",
"臺灣公司治理100指數","6,372.86","+","42.42","0.67","",
"臺灣50指數","8,490.07","+","69.64","0.83","",
"臺灣中型100指數","8,011.15","-","1.75","-0.02","",
"臺灣資訊科技指數","11,216.81","+","126.51","1.14","",
"臺灣發達指數","8,855.66","+","37.88","0.43","",
"臺灣高股息指數","6,174.45","-","29.87","-0.48","",
"臺灣就業99指數","6,568.19","+","7.08","0.11","",
"臺灣高薪100指數","6,153.63","+","25.37","0.41","",
"臺灣低波動高股息指數","1,585.12","+","0.61","0.04","",
"未含金融保險股指數","9,488.05","+","55.11","0.58","",
"未含電子股指數","14,914.94","+","13.15","0.09","",
"未含金融電子股指數","12,755.50","+","16.15","0.13","",
"小型股300指數","6,497.52","+","1.15","0.02","",
"水泥窯製類指數","489.60","+","1.19","0.24","",
"塑膠化工類指數","939.52","+","1.64","0.17","",
"機電類指數","2,644.32","+","21.32","0.81","",
"水泥類指數","123.00","+","0.39","0.32","",
"食品類指數","1,706.28","+","7.12","0.42","",
"塑膠類指數","297.07","+","0.84","0.28","",
"紡織纖維類指數","489.14","+","1.04","0.21","",
"電機機械類指數","200.30","+","0.04","0.02","",
"電器電纜類指數","50.33","+","0.26","0.52","",
"化學生技醫療類指數","100.91","-","0.15","-0.15","",
"化學類指數","109.49","+","0.16","0.15","",
"生技醫療類指數","63.66","-","0.37","-0.58","",
"玻璃陶瓷類指數","50.02","-","0.04","-0.08","",
"造紙類指數","247.23","+","2.90","1.19","",
"鋼鐵類指數","106.27","-","0.22","-0.21","",
"橡膠類指數","288.52","+","0.03","0.01","",
"汽車類指數","260.82","-","2.79","-1.06","",
"電子類指數","469.86","+","3.93","0.84","",
"半導體類指數","180.91","+","2.51","1.41","",
"電腦及週邊設備類指數","104.66","-","0.71","-0.67","",
"光電類指數","43.62","+","0.11","0.25","",
"通信網路類指數","128.77","+","0.28","0.22","",
"電子零組件類指數","97.81","+","0.27","0.28","",
"電子通路類指數","122.33","-","0.45","-0.37","",
"資訊服務類指數","90.75","+","0.03","0.03","",
"其他電子類指數","100.87","+","1.15","1.15","",
