"107年10月11日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","11,120.38","-","761.04","-6.41","",
"發行量加權股價指數","9,806.11","-","660.72","-6.31","",
"臺灣公司治理100指數","5,693.96","-","367.92","-6.07","",
"臺灣50指數","7,522.88","-","516.22","-6.42","",
"臺灣中型100指數","6,842.91","-","456.03","-6.25","",
"臺灣資訊科技指數","9,399.94","-","687.43","-6.81","",
"臺灣發達指數","7,839.30","-","555.91","-6.62","",
"臺灣高股息指數","5,450.86","-","343.65","-5.93","",
"臺灣就業99指數","5,912.72","-","395.59","-6.27","",
"臺灣高薪100指數","5,556.89","-","337.38","-5.72","",
"臺灣低波動高股息指數","1,542.49","-","89.13","-5.46","",
"未含金融保險股指數","8,172.42","-","577.30","-6.60","",
"未含電子股指數","14,262.87","-","904.97","-5.97","",
"未含金融電子股指數","11,993.22","-","838.93","-6.54","",
"小型股300指數","5,560.75","-","393.17","-6.60","",
"水泥窯製類指數","518.31","-","30.85","-5.62","",
"塑膠化工類指數","902.32","-","71.84","-7.37","",
"機電類指數","2,155.66","-","152.78","-6.62","",
"水泥類指數","138.54","-","7.40","-5.07","",
"食品類指數","1,605.15","-","109.71","-6.40","",
"塑膠類指數","289.63","-","25.24","-8.02","",
"紡織纖維類指數","522.15","-","43.25","-7.65","",
"電機機械類指數","155.31","-","9.48","-5.75","",
"電器電纜類指數","47.03","-","4.23","-8.25","",
"化學生技醫療類指數","96.78","-","6.31","-6.12","",
"化學類指數","104.40","-","5.74","-5.21","",
"生技醫療類指數","61.58","-","4.90","-7.37","",
"玻璃陶瓷類指數","37.96","-","3.82","-9.14","",
"造紙類指數","192.38","-","17.53","-8.35","",
"鋼鐵類指數","106.53","-","6.15","-5.46","",
"橡膠類指數","249.34","-","12.69","-4.84","",
"汽車類指數","191.20","-","13.94","-6.80","",
"電子類指數","383.42","-","27.26","-6.64","",
"半導體類指數","150.49","-","11.44","-7.06","",
"電腦及週邊設備類指數","81.36","-","5.75","-6.60","",
"光電類指數","31.50","-","3.24","-9.33","",
"通信網路類指數","116.43","-","2.19","-1.85","",
"電子零組件類指數","79.83","-","6.69","-7.73","",
"電子通路類指數","103.50","-","7.11","-6.43","",
"資訊服務類指數","85.94","-","3.70","-4.13","",
"其他電子類指數","76.87","-","5.75","-6.96","",
"建材營造類指數","257.91","-","13.30","-4.90","",
"航運類指數","60.39","-","3.31","-5.20","",
"觀光類指數","101.99","-","3.59","-3.40","",
"金融保險類指數","1,231.38","-","59.42","-4.60","",
"貿易百貨類指數","249.01","-","19.70","-7.33","",
"油電燃氣類指數","159.09","-","10.32","-6.09","",
"其他類指數","221.31","-","15.15","-6.41","",
"臺指日報酬兩倍指數","13,681.30","-","1,976.84","-12.62","",
"臺指日報酬反向一倍指數","7,933.09","+","471.04","6.31","",
"電子類兩倍槓桿指數","9,689.57","-","1,483.25","-13.28","",
"電子類反向指數","8,978.04","+","558.85","6.64","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,570.89","-","426.80","-8.54","",
"臺灣中小型公司治理指數","4,424.48","-","335.22","-7.04","",
"臺灣IPO指數","4,433.25","-","325.41","-6.84","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣永續指數","4,861.52","-","318.02","-6.14","",
"漲升股利150指數","5,588.95","-","391.69","-6.55","",
"漲升股利100指數","5,613.69","-","398.65","-6.63","",
"藍籌30指數","5,163.88","-","354.65","-6.43","",
"工業菁英30指數","5,422.37","-","460.17","-7.82","",
"電子菁英30指數","5,003.77","-","298.77","-5.63","",
"低波動精選30指數","5,613.89","-","301.99","-5.10","",
"低貝塔100指數","5,197.98","-","175.94","-3.27","",
"中小型精選50指數","4,875.90","-","271.71","-5.28","",
"中小型A級動能50指數","5,192.93","-","359.60","-6.48","",
"特選高息低波指數","4,649.28","-","301.12","-6.08","",
"特選內需高收益指數","5,103.20","-","249.99","-4.67","",
"價值投資指數","5,029.01","-","386.99","-7.15","",
"藍籌30反向一倍指數","9,415.90","+","568.58","6.43","",
